REGION,EMISSION,YEAR,VALUE
"REGION1","CO2",2015,-11357.1504060036
"REGION1","CO2",2016,-11838.86036809
"REGION1","CO2",2017,-12333.6963633488
"REGION1","CO2",2018,-12842.0274893736
"REGION1","CO2",2019,-13516.0834349248
"REGION1","CO2",2020,-13899.4750255162
"REGION1","CO2",2021,-14120.5098121224
"REGION1","CO2",2022,-14344.0590760852
"REGION1","CO2",2023,-14570.0379135287
"REGION1","CO2",2024,-16199.6183863677
"REGION1","CO2",2025,-18798.7768984256
"REGION1","CO2",2026,-19040.627220808
"REGION1","CO2",2027,-19285.1304321444
"REGION1","CO2",2028,-19532.332669634
"REGION1","CO2",2029,-19782.280070476
"REGION1","CO2",2030,-20034.880360272
"REGION1","CO2",2031,-22240.3964633705
"REGION1","CO2",2032,-22499.8013151844
"REGION1","CO2",2033,-22762.2923786876
"REGION1","CO2",2034,-23027.0053854341
"REGION1","CO2",2035,-23295.3119859164
"REGION1","CO2",2036,-23566.8967599498
"REGION1","CO2",2037,-23840.4722347194
"REGION1","CO2",2038,-24117.8580302179
"REGION1","CO2",2039,-24396.8342494539
"REGION1","CO2",2040,-24678.7777979411
"REGION1","CO2",2041,-24963.7396089413
"REGION1","CO2",2042,-25251.9116793205
"REGION1","CO2",2043,-25545.5465718135
"REGION1","CO2",2044,-25839.9474245925
"REGION1","CO2",2045,-26141.752071926
"REGION1","CO2",2046,-26443.7327798262
"REGION1","CO2",2047,-26748.947325576
"REGION1","CO2",2048,-27057.3957091905
"REGION1","CO2",2049,-27515.8254000087
"REGION1","CO2",2050,-27831.4038425367
"REGION1","CO2",2051,-28151.2143234856
"REGION1","CO2",2052,-28474.7157803705
"REGION1","CO2",2053,-28803.1925154406
"REGION1","CO2",2054,-29132.8713124412
"REGION1","CO2",2055,-29466.2125766612
"REGION1","CO2",2056,-29803.2448168172
"REGION1","CO2",2057,-30143.9680329092
"REGION1","CO2",2058,-30488.3822249372
"REGION1","CO2",2059,-30836.7180788972
"REGION1","CO2",2060,-31188.7449087932
"REGION1","SEHO",2015,237.06390300599
"REGION1","SEHO",2016,233.736891823928
"REGION1","SEHO",2017,230.860733983772
"REGION1","SEHO",2018,224.234210978879
"REGION1","SEHO",2019,222.902640665209
"REGION1","SEHO",2020,222.422359179721
"REGION1","SEHO",2021,221.769125303402
"REGION1","SEHO",2022,220.205420120266
"REGION1","SEHO",2023,219.974249642976
"REGION1","SEHO",2024,214.973592569805
"REGION1","SEHO",2025,214.694627950891
"REGION1","SEHO",2026,216.26809749924
"REGION1","SEHO",2027,220.341276141048
"REGION1","SEHO",2028,224.241408175
"REGION1","SEHO",2029,228.716419869214
"REGION1","SEHO",2030,251.334
"REGION1","SEHO",2031,252.405
"REGION1","SEHO",2032,253.477
"REGION1","SEHO",2033,254.549
"REGION1","SEHO",2034,249.303273856426
"REGION1","SEHO",2035,256.693
"REGION1","SEHO",2036,256.684
"REGION1","SEHO",2037,256.676
"REGION1","SEHO",2038,256.668
"REGION1","SEHO",2039,252.233358166816
"REGION1","SEHO",2040,256.651
"REGION1","SEHO",2041,258.233
"REGION1","SEHO",2042,254.17588721236
"REGION1","SEHO",2043,261.399
"REGION1","SEHO",2044,252.179339893896
"REGION1","SEHO",2045,264.564
"REGION1","SEHO",2046,266.155
"REGION1","SEHO",2047,267.746
"REGION1","SEHO",2048,269.337
"REGION1","SEHO",2049,270.928
"REGION1","SEHO",2050,272.519
"REGION1","SEHO",2051,273.881
"REGION1","SEHO",2052,275.251
"REGION1","SEHO",2053,276.627
"REGION1","SEHO",2054,275.337314194501
"REGION1","SEHO",2055,279.4
"REGION1","SEHO",2056,280.518
"REGION1","SEHO",2057,281.64
"REGION1","SEHO",2058,282.766
"REGION1","SEHO",2059,281.470476831275
"REGION1","SEHO",2060,285.033
"REGION1","SEPM25",2015,0.0289400545735381
"REGION1","SEPM25",2016,0.0302428858079143
"REGION1","SEPM25",2017,0.0308413376789815
"REGION1","SEPM25",2018,0.0300875697128887
"REGION1","SEPM25",2019,1.80636292055043
"REGION1","SEPM25",2020,5.6894346664789
"REGION1","SEPM25",2021,6.34485973169782
"REGION1","SEPM25",2022,8.73101289461596
"REGION1","SEPM25",2023,7.42394446415381
"REGION1","SEPM25",2024,8.63991319975969
"REGION1","SEPM25",2025,8.73397674257544
"REGION1","SEPM25",2026,8.73381827420565
"REGION1","SEPM25",2027,8.73385618689165
"REGION1","SEPM25",2028,8.73389409957766
"REGION1","SEPM25",2029,8.73393201226365
"REGION1","SEPM25",2030,3.97073121887621
"REGION1","SEPM25",2031,3.77018009141649
"REGION1","SEPM25",2032,3.76866655752049
"REGION1","SEPM25",2033,3.76715302362449
"REGION1","SEPM25",2034,3.76563948972848
"REGION1","SEPM25",2035,6.45060075968288
"REGION1","SEPM25",2036,6.44864639788888
"REGION1","SEPM25",2037,6.44669277948088
"REGION1","SEPM25",2038,6.44473916107288
"REGION1","SEPM25",2039,6.44278554266488
"REGION1","SEPM25",2040,8.26539061674912
"REGION1","SEPM25",2041,14.0905261287496
"REGION1","SEPM25",2042,13.9919945456211
"REGION1","SEPM25",2043,14.7935215767875
"REGION1","SEPM25",2044,14.7929350452335
"REGION1","SEPM25",2045,15.6473888275179
"REGION1","SEPM25",2046,15.6460477591739
"REGION1","SEPM25",2047,15.6447066908299
"REGION1","SEPM25",2048,15.6433656224859
"REGION1","SEPM25",2049,15.6420245541419
"REGION1","SEPM25",2050,15.6406834857979
"REGION1","SEPM25",2051,15.6390197879299
"REGION1","SEPM25",2052,15.6373843387299
"REGION1","SEPM25",2053,15.6357771381979
"REGION1","SEPM25",2054,15.6341966995619
"REGION1","SEPM25",2055,15.6326430228219
"REGION1","SEPM25",2056,15.6309369519519
"REGION1","SEPM25",2057,15.6292628466799
"REGION1","SEPM25",2058,15.6276199636199
"REGION1","SEPM25",2059,15.6260090461579
"REGION1","SEPM25",2060,12.0808395707863
"REGION1","SESO",2015,0.320131477856735
"REGION1","SESO",2016,0.320131477856735
"REGION1","SESO",2017,0.320131477856735
"REGION1","SESO",2018,0.320131477856735
"REGION1","SESO",2019,0.320131477856735
"REGION1","SESO",2020,0.320131477856735
"REGION1","SESO",2021,0.320131477856735
"REGION1","SESO",2022,0.320131477856735
"REGION1","SESO",2023,0.320131477856735
"REGION1","SESO",2024,0.320131477856735
"REGION1","SESO",2025,0.320131477856735
"REGION1","SESO",2026,0.320106852358797
"REGION1","SESO",2027,0.320106852358797
"REGION1","SESO",2028,0.320106852358797
"REGION1","SESO",2029,0.320106852358797
"REGION1","SESO",2030,0.320106852358797
"REGION1","SESO",2031,0.320106852358797
"REGION1","SESO",2032,0.301662354133698
"REGION1","SESO",2033,0.295505979566522
"REGION1","SESO",2034,0.29242779227929
"REGION1","SESO",2035,0.286271417706129
"REGION1","SESO",2036,0.283193230421146
"REGION1","SESO",2037,0.246254982978627
"REGION1","SESO",2038,0.187769424521203
"REGION1","SESO",2039,0.135440240638245
"REGION1","SEWI",2015,48.8015922979716
"REGION1","SEWI",2016,48.8015922979716
"REGION1","SEWI",2017,48.8015922979716
"REGION1","SEWI",2018,48.8015922979716
"REGION1","SEWI",2019,48.8015922979716
"REGION1","SEWI",2020,48.8015922979716
"REGION1","SEWI",2021,48.8015922979716
"REGION1","SEWI",2022,48.7850100343626
"REGION1","SEWI",2023,48.5104013403936
"REGION1","SEWI",2024,46.8798921930643
"REGION1","SEWI",2025,46.5949496246723
"REGION1","SEWI",2026,46.3424506155153
"REGION1","SEWI",2027,46.1470682921225
"REGION1","SEWI",2028,46.0447709460903
"REGION1","SEWI",2029,45.9122730523258
"REGION1","SEWI",2030,63.3895003602149
"REGION1","SEWI",2031,72.2927586317761
"REGION1","SEWI",2032,76.3692406908245
"REGION1","SEWI",2033,79.0183802841665
"REGION1","SEWI",2034,88.0120073139378
"REGION1","SEWI",2035,101.074747661923
"REGION1","SEWI",2036,105.088350338556
"REGION1","SEWI",2037,109.669173874846
"REGION1","SEWI",2038,115.103168389182
"REGION1","SEWI",2039,124.919157597817
"REGION1","SEWI",2040,137.013967878106
"REGION1","SEWI",2041,154.738807634378
"REGION1","SEWI",2042,165.7336837415
"REGION1","SEWI",2043,183.458523497773
"REGION1","SEWI",2044,198.889955961025
"REGION1","SEWI",2045,216.614795717298
"REGION1","SEWI",2046,221.057828463148
"REGION1","SEWI",2047,225.507381411571
"REGION1","SEWI",2048,229.963454008322
"REGION1","SEWI",2049,236.002322601158
"REGION1","SEWI",2050,240.474523032321
"REGION1","SEWI",2051,243.17217361138
"REGION1","SEWI",2052,245.864247032711
"REGION1","SEWI",2053,248.568573279462
"REGION1","SEWI",2054,253.919122024039
"REGION1","SEWI",2055,253.919122024039
"REGION1","SEWI",2056,256.634544863484
"REGION1","SEWI",2057,258.712434584465
"REGION1","SEWI",2058,261.412801183523
"REGION1","SEWI",2059,265.903840986899
"REGION1","SEWI",2060,265.903840986899
"REGION1","SEWO",2015,2.52310745185536
"REGION1","SEWO",2016,2.52310745185536
"REGION1","SEWO",2017,2.52310745185536
"REGION1","SEWO",2018,2.52310745185536
"REGION1","SEWO",2019,2.52310745185536
"REGION1","SEWO",2020,2.52310745185536
"REGION1","SEWO",2021,2.52310745185536
"REGION1","SEWO",2022,2.52310745185536
"REGION1","SEWO",2023,2.52310745185536
"REGION1","SEWO",2024,2.48268481572019
"REGION1","SEWO",2025,2.32834384138589
"REGION1","SEWO",2026,2.32834384138589
"REGION1","SEWO",2027,2.32834384138589
"REGION1","SEWO",2028,2.32834384138589
"REGION1","SEWO",2029,2.32834384138589
"REGION1","SEWO",2030,2.32834384138589
"REGION1","SEWO",2031,2.32834384138589
"REGION1","SEWO",2032,0.705558739813907
"REGION1","SEWO",2033,0.705558739813907
"REGION1","SEWO",2034,0.705558739813907
"REGION1","SEWO",2035,0.705558739813907
"REGION1","SEWO",2036,0.705558739813907
"REGION1","SEWO",2037,0.705558739813907
