REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"REGION1","SEBFHPFH1","SEPM25",2024,2.4748406719344e-05
"REGION1","SEBFHPFH1","SEPM25",2025,1.87487929692e-05
"REGION1","SEBMCCPH1","SEPM25",2019,6.50484494300376e-05
"REGION1","SEBMCCPH1","SEPM25",2020,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2021,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2022,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2023,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2024,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2025,0.000196381055788582
"REGION1","SEBMCHPH3","SEPM25",2026,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2027,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2028,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2029,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2030,0.0031482338006107
"REGION1","SEBMSTPH3","SEPM25",2020,3.77880267809508
"REGION1","SEBMSTPH3","SEPM25",2021,4.43180313305863
"REGION1","SEBMSTPH3","SEPM25",2022,6.79826102539706
"REGION1","SEBMSTPH3","SEPM25",2023,7.33113448113274
"REGION1","SEBMSTPH3","SEPM25",2024,8.46335147209669
"REGION1","SEBMSTPH3","SEPM25",2025,8.40592074532962
"REGION1","SEBMSTPH3","SEPM25",2026,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2027,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2028,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2029,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2030,0.812690350375659
"REGION1","SEBMSTPH3","SEPM25",2031,0.616800247226549
"REGION1","SEBMSTPH3","SEPM25",2032,0.616800247226549
"REGION1","SEBMSTPH3","SEPM25",2033,0.616800247226549
"REGION1","SEBMSTPH3","SEPM25",2034,0.616800247226549
"REGION1","SEBMSTPH3","SEPM25",2035,4.14284504718207
"REGION1","SEBMSTPH3","SEPM25",2036,4.14284504718207
"REGION1","SEBMSTPH3","SEPM25",2037,4.14284504718207
"REGION1","SEBMSTPH3","SEPM25",2038,4.14284504718207
"REGION1","SEBMSTPH3","SEPM25",2039,4.14284504718207
"REGION1","SEBMSTPH3","SEPM25",2040,5.97436321162644
"REGION1","SEBMSTPH3","SEPM25",2041,11.7628059947725
"REGION1","SEBMSTPH3","SEPM25",2042,11.6648609431979
"REGION1","SEBMSTPH3","SEPM25",2043,12.4348498861922
"REGION1","SEBMSTPH3","SEPM25",2044,12.4348498861922
"REGION1","SEBMSTPH3","SEPM25",2045,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2046,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2047,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2048,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2049,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2050,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2051,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2052,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2053,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2054,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2055,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2056,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2057,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2058,13.2546061123361
"REGION1","SEBMSTPH3","SEPM25",2059,13.2546061123361
