REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"REGION1","SEBFHPFH1","SEPM25",1,2023,7.16953843142208e-05
"REGION1","SEBFHPFH1","SEPM25",1,2024,2.4748406719344e-05
"REGION1","SEBMCCPH1","SEPM25",1,2019,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2020,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2021,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2022,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2023,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2024,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2025,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",1,2060,0.00532569956638909
"REGION1","SEBMCHPH3","SEPM25",1,2022,0.000204451353730714
"REGION1","SEBMCHPH3","SEPM25",1,2025,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",1,2026,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",1,2027,0.00629646760122102
"REGION1","SEBMCHPH3","SEPM25",1,2028,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",1,2029,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",1,2030,0.0031482338006107
"REGION1","SEBMSTPH3","SEPM25",1,2019,1.77872381677157
"REGION1","SEBMSTPH3","SEPM25",1,2020,5.66395144725182
"REGION1","SEBMSTPH3","SEPM25",1,2021,6.31795723139365
"REGION1","SEBMSTPH3","SEPM25",1,2022,8.60284036329844
"REGION1","SEBMSTPH3","SEPM25",1,2023,7.29694765936371
"REGION1","SEBMSTPH3","SEPM25",1,2024,8.51400556911919
"REGION1","SEBMSTPH3","SEPM25",1,2025,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",1,2026,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",1,2027,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",1,2028,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",1,2029,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",1,2030,3.8427498910256
"REGION1","SEBMSTPH3","SEPM25",1,2031,3.64685978787649
"REGION1","SEBMSTPH3","SEPM25",1,2032,3.64685978787649
"REGION1","SEBMSTPH3","SEPM25",1,2033,3.64685978787649
"REGION1","SEBMSTPH3","SEPM25",1,2034,3.64685978787647
"REGION1","SEBMSTPH3","SEPM25",1,2035,6.33333384834088
"REGION1","SEBMSTPH3","SEPM25",1,2036,6.33333384834088
"REGION1","SEBMSTPH3","SEPM25",1,2037,6.33333384834088
"REGION1","SEBMSTPH3","SEPM25",1,2038,6.33333384834088
"REGION1","SEBMSTPH3","SEPM25",1,2039,6.33333384834088
"REGION1","SEBMSTPH3","SEPM25",1,2040,8.15789254083312
"REGION1","SEBMSTPH3","SEPM25",1,2041,13.9836145843876
"REGION1","SEBMSTPH3","SEPM25",1,2042,13.8856695328131
"REGION1","SEBMSTPH3","SEPM25",1,2043,14.6877823521475
"REGION1","SEBMSTPH3","SEPM25",1,2044,14.6877823521475
"REGION1","SEBMSTPH3","SEPM25",1,2045,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2046,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2047,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2048,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2049,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2050,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2051,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2052,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2053,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2054,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2055,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2056,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2057,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2058,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2059,15.5428219225999
"REGION1","SEBMSTPH3","SEPM25",1,2060,11.993907186298
"REGION1","SECO00I00","CO2",1,2015,1003.0242266154
"REGION1","SECO00I00","CO2",1,2016,1092.1044952026
"REGION1","SECO00I00","CO2",1,2017,1181.1856691448
"REGION1","SECO00I00","CO2",1,2018,1270.265937732
"REGION1","SECO00I00","CO2",1,2019,1359.3471116742
"REGION1","SECO00I00","CO2",1,2020,1448.42738026136
"REGION1","SECO00I00","CO2",1,2021,1450.3255837686
"REGION1","SECO00I00","CO2",1,2022,1452.2237872758
"REGION1","SECO00I00","CO2",1,2023,1454.121990783
"REGION1","SECO00I00","CO2",1,2024,1456.0201942902
"REGION1","SECO00I00","CO2",1,2025,672.3672142374
"REGION1","SECO00I00","CO2",1,2026,746.2855026396
"REGION1","SECO00I00","CO2",1,2027,820.2037910418
"REGION1","SECO00I00","CO2",1,2028,894.122984799
"REGION1","SECO00I00","CO2",1,2029,968.0410921302
"REGION1","SECO00I00","CO2",1,2030,1041.9595616034
"REGION1","SECO00I00","CO2",1,2031,371.888282146036
"REGION1","SECO00I00","CO2",1,2032,371.143093669435
"REGION1","SECO00I00","CO2",1,2033,370.209068076124
"REGION1","SECO00I00","CO2",1,2034,370.955823497376
"REGION1","SECO00I00","CO2",1,2035,369.917125147732
"REGION1","SECO00I00","CO2",1,2036,368.274330534735
"REGION1","SECO00I00","CO2",1,2037,368.313520802137
"REGION1","SECO00I00","CO2",1,2038,367.096482596356
"REGION1","SECO00I00","CO2",1,2039,368.926352242059
"REGION1","SECO00I00","CO2",1,2040,370.824555749258
"REGION1","SECO00I00","CO2",1,2041,373.179941018807
"REGION1","SECO00I00","CO2",1,2042,375.078144526007
"REGION1","SECO00I00","CO2",1,2043,372.644394832803
"REGION1","SECO00I00","CO2",1,2044,375.041063455366
"REGION1","SECO00I00","CO2",1,2045,368.40796536004
"REGION1","SECO00I00","CO2",1,2046,368.879436235352
"REGION1","SECO00I00","CO2",1,2047,369.341748166075
"REGION1","SECO00I00","CO2",1,2048,369.794901120035
"REGION1","SECO00I00","CO2",1,2049,53.2882578804026
"REGION1","SECO00I00","CO2",1,2050,53.2882578804026
"REGION1","SECO00I00","CO2",1,2051,51.6187824304819
"REGION1","SECO00I00","CO2",1,2052,49.9493069805616
"REGION1","SECO00I00","CO2",1,2053,45.002551762858
"REGION1","SECO00I00","CO2",1,2054,44.9408806308
"REGION1","SECO00I00","CO2",1,2055,44.9408806308
"REGION1","SECO00I00","CO2",1,2056,44.9408806308
"REGION1","SECO00I00","CO2",1,2057,44.9408806308
"REGION1","SECO00I00","CO2",1,2058,44.9408806307998
"REGION1","SECO00I00","CO2",1,2059,44.9408806307999
"REGION1","SECO00I00","CO2",1,2060,44.9408806308
"REGION1","SECO00X00","CO2",1,2015,796.01346594
"REGION1","SECO00X00","CO2",1,2016,708.83140086
"REGION1","SECO00X00","CO2",1,2017,621.648430425
"REGION1","SECO00X00","CO2",1,2018,534.466365345
"REGION1","SECO00X00","CO2",1,2019,447.28339491
"REGION1","SECO00X00","CO2",1,2020,360.10132983
"REGION1","SECO00X00","CO2",1,2021,360.10132983
"REGION1","SECO00X00","CO2",1,2022,360.10132983
"REGION1","SECO00X00","CO2",1,2023,360.10132983
"REGION1","SECO00X00","CO2",1,2024,360.10132983
"REGION1","SECO00X00","CO2",1,2025,360.10132983
"REGION1","SECO00X00","CO2",1,2026,288.081244935
"REGION1","SECO00X00","CO2",1,2027,216.06116004
"REGION1","SECO00X00","CO2",1,2028,144.04016979
"REGION1","SECO00X00","CO2",1,2029,72.020265966
"REGION1","SEHF00I00","CO2",1,2015,1000.9098647964
"REGION1","SEHF00I00","CO2",1,2016,1027.7297601012
"REGION1","SEHF00I00","CO2",1,2017,1055.2673922336
"REGION1","SEHF00I00","CO2",1,2018,1083.5429436
"REGION1","SEHF00I00","CO2",1,2019,1120.88039544
"REGION1","SEHF00I00","CO2",1,2020,1142.32420224
"REGION1","SEHF00I00","CO2",1,2021,1154.8902730248
"REGION1","SEHF00I00","CO2",1,2022,1167.5938364532
"REGION1","SEHF00I00","CO2",1,2023,1180.437415326
"REGION1","SEHF00I00","CO2",1,2024,1193.4222710436
"REGION1","SEHF00I00","CO2",1,2025,1206.5496650064
"REGION1","SEHF00I00","CO2",1,2026,1219.8221200152
"REGION1","SEHF00I00","CO2",1,2027,1233.23963607
"REGION1","SEHF00I00","CO2",1,2028,1246.8047359716
"REGION1","SEHF00I00","CO2",1,2029,1260.5199425208
"REGION1","SEHF00I00","CO2",1,2030,1274.380210116
"REGION1","SEHF00I00","CO2",1,2031,1288.406982564
"REGION1","SEHF00I00","CO2",1,2032,1302.572509056
"REGION1","SEHF00I00","CO2",1,2033,1316.9020176
"REGION1","SEHF00I00","CO2",1,2034,1331.395508196
"REGION1","SEHF00I00","CO2",1,2035,1346.04036684
"REGION1","SEHF00I00","CO2",1,2036,1360.849207536
"REGION1","SEHF00I00","CO2",1,2037,1375.80941628
"REGION1","SEHF00I00","CO2",1,2038,1390.94622108
"REGION1","SEHF00I00","CO2",1,2039,1406.247007932
"REGION1","SEHF00I00","CO2",1,2040,1421.711776836
"REGION1","SEHF00I00","CO2",1,2041,1437.353141796
"REGION1","SEHF00I00","CO2",1,2042,1453.158488808
"REGION1","SEHF00I00","CO2",1,2043,1469.15304588
"REGION1","SEHF00I00","CO2",1,2044,1485.311585004
"REGION1","SEHF00I00","CO2",1,2045,1501.646720184
"REGION1","SEHF00I00","CO2",1,2046,1518.171065424
"REGION1","SEHF00I00","CO2",1,2047,1534.87200672
"REGION1","SEHF00I00","CO2",1,2048,1551.749544072
"REGION1","SEHF00I00","CO2",1,2049,1568.816291484
"REGION1","SEHF00I00","CO2",1,2050,1586.072248956
"REGION1","SEHF00I00","CO2",1,2051,1603.517416488
"REGION1","SEHF00I00","CO2",1,2052,1621.164408084
"REGION1","SEHF00I00","CO2",1,2053,1639.00060974
"REGION1","SEHF00I00","CO2",1,2054,1657.026021456
"REGION1","SEHF00I00","CO2",1,2055,1675.253257236
"REGION1","SEHF00I00","CO2",1,2056,1693.68231708
"REGION1","SEHF00I00","CO2",1,2057,1712.313200988
"REGION1","SEHF00I00","CO2",1,2058,1731.14590896
"REGION1","SEHF00I00","CO2",1,2059,1750.193055
"REGION1","SEHF00I00","CO2",1,2060,1769.442025104
"REGION1","SEHYDMPH1","SEHO",1,2015,19.2379220267001
"REGION1","SEHYDMPH1","SEHO",1,2016,16.9589782232747
"REGION1","SEHYDMPH1","SEHO",1,2017,14.4444674488188
"REGION1","SEHYDMPH1","SEHO",1,2018,13.6709540131189
"REGION1","SEHYDMPH1","SEHO",1,2019,13.6157851078023
"REGION1","SEHYDMPH1","SEHO",1,2020,13.2773260010206
"REGION1","SEHYDMPH1","SEHO",1,2021,13.2622928288778
"REGION1","SEHYDMPH1","SEHO",1,2022,13.1309936706719
"REGION1","SEHYDMPH1","SEHO",1,2023,12.8998231933812
"REGION1","SEHYDMPH1","SEHO",1,2024,12.7211269962118
"REGION1","SEHYDMPH1","SEHO",1,2025,12.4421623772972
"REGION1","SEHYDMPH1","SEHO",1,2026,12.4073449833249
"REGION1","SEHYDMPH1","SEHO",1,2027,12.2675081179209
"REGION1","SEHYDMPH1","SEHO",1,2028,12.2106373440598
"REGION1","SEHYDMPH1","SEHO",1,2029,11.6880218785285
"REGION1","SEHYDMPH1","SEHO",1,2030,11.4716009286233
"REGION1","SEHYDMPH1","SEHO",1,2031,11.4301887940412
"REGION1","SEHYDMPH1","SEHO",1,2032,11.2085913273132
"REGION1","SEHYDMPH1","SEHO",1,2033,10.8112759333685
"REGION1","SEHYDMPH1","SEHO",1,2034,10.6101718003635
"REGION1","SEHYDMPH1","SEHO",1,2035,10.378547491461
"REGION1","SEHYDMPH1","SEHO",1,2036,10.2231101643994
"REGION1","SEHYDMPH1","SEHO",1,2037,10.0343445783418
