REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.042552303041288
"REGION1","SEBFHPFH1",2024,0
"REGION1","SEBM00X00",2015,1.64841721056
"REGION1","SEBM00X00",2016,1.658154696192
"REGION1","SEBM00X00",2017,1.667892181824
"REGION1","SEBM00X00",2018,1.677629667456
"REGION1","SEBM00X00",2019,4.85448593599863
"REGION1","SEBM00X00",2020,188.497183487133
"REGION1","SEBM00X00",2021,218.046228546127
"REGION1","SEBM00X00",2022,333.303172383549
"REGION1","SEBM00X00",2023,356.847604971877
"REGION1","SEBM00X00",2024,412.876072317034
"REGION1","SEBM00X00",2025,446.496158899109
"REGION1","SEBM00X00",2026,440.759477857234
"REGION1","SEBM00X00",2027,440.769215342866
"REGION1","SEBM00X00",2028,440.411618222815
"REGION1","SEBM00X00",2029,440.78869031413
"REGION1","SEBM00X00",2030,87.4806471190349
"REGION1","SEBM00X00",2031,84.460759580592
"REGION1","SEBM00X00",2032,84.460759580592
"REGION1","SEBM00X00",2033,84.460759580592
"REGION1","SEBM00X00",2034,84.4607595805919
"REGION1","SEBM00X00",2035,255.485885958858
"REGION1","SEBM00X00",2036,255.485885958859
"REGION1","SEBM00X00",2037,255.485885958858
"REGION1","SEBM00X00",2038,255.485885958857
"REGION1","SEBM00X00",2039,255.485885958859
"REGION1","SEBM00X00",2040,339.906236047137
"REGION1","SEBM00X00",2041,627.438015430819
"REGION1","SEBM00X00",2042,622.540220688378
"REGION1","SEBM00X00",2043,657.908283964758
"REGION1","SEBM00X00",2044,657.908283964758
"REGION1","SEBM00X00",2045,695.229193795277
"REGION1","SEBM00X00",2046,695.229193795278
"REGION1","SEBM00X00",2047,695.229193795274
"REGION1","SEBM00X00",2048,695.229193795278
"REGION1","SEBM00X00",2049,695.229193795277
"REGION1","SEBM00X00",2050,693.483401728397
"REGION1","SEBM00X00",2051,693.473664242766
"REGION1","SEBM00X00",2052,693.463926757133
"REGION1","SEBM00X00",2053,693.454189271502
"REGION1","SEBM00X00",2054,693.44445178587
"REGION1","SEBM00X00",2055,693.434714300237
"REGION1","SEBM00X00",2056,693.434714300238
"REGION1","SEBM00X00",2057,693.434714300237
"REGION1","SEBM00X00",2058,693.434714300238
"REGION1","SEBM00X00",2059,693.434714300237
"REGION1","SEBM00X00",2060,666.246993626962
"REGION1","SEBMCCPH1",2019,0.000257147537233637
"REGION1","SEBMCCPH1",2020,0.00821265575307849
"REGION1","SEBMCCPH1",2021,0.00821265575307849
"REGION1","SEBMCCPH1",2022,0.00821265575307849
"REGION1","SEBMCCPH1",2023,0.00821265575307849
"REGION1","SEBMCCPH1",2024,0.00821265575307849
"REGION1","SEBMCCPH1",2025,0.00821265575307849
"REGION1","SEBMCCPH1",2060,0.0612759226678881
"REGION1","SEBMCHPH3",2025,0
"REGION1","SEBMCHPH3",2026,0
"REGION1","SEBMCHPH3",2027,0
"REGION1","SEBMCHPH3",2029,0
"REGION1","SEBMCHPH3",2030,0
"REGION1","SEBMSTPH3",2019,0
"REGION1","SEBMSTPH3",2020,0
"REGION1","SEBMSTPH3",2021,0
"REGION1","SEBMSTPH3",2022,0
"REGION1","SEBMSTPH3",2023,0
"REGION1","SEBMSTPH3",2024,0
"REGION1","SEBMSTPH3",2025,0
"REGION1","SEBMSTPH3",2026,0
"REGION1","SEBMSTPH3",2027,0
"REGION1","SEBMSTPH3",2028,0
"REGION1","SEBMSTPH3",2029,0
"REGION1","SEBMSTPH3",2030,0
"REGION1","SEBMSTPH3",2031,0
"REGION1","SEBMSTPH3",2032,0
"REGION1","SEBMSTPH3",2033,0
"REGION1","SEBMSTPH3",2034,0
"REGION1","SEBMSTPH3",2035,0
"REGION1","SEBMSTPH3",2036,0
"REGION1","SEBMSTPH3",2037,0
"REGION1","SEBMSTPH3",2038,0
"REGION1","SEBMSTPH3",2039,0
"REGION1","SEBMSTPH3",2040,0
"REGION1","SEBMSTPH3",2041,0
"REGION1","SEBMSTPH3",2042,0
"REGION1","SEBMSTPH3",2043,0
"REGION1","SEBMSTPH3",2044,0
"REGION1","SEBMSTPH3",2045,0
"REGION1","SEBMSTPH3",2046,0
"REGION1","SEBMSTPH3",2047,0
"REGION1","SEBMSTPH3",2048,0
"REGION1","SEBMSTPH3",2049,0
"REGION1","SEBMSTPH3",2050,0
"REGION1","SEBMSTPH3",2051,0
"REGION1","SEBMSTPH3",2052,0
"REGION1","SEBMSTPH3",2053,0
"REGION1","SEBMSTPH3",2054,0
"REGION1","SEBMSTPH3",2055,0
"REGION1","SEBMSTPH3",2056,0
"REGION1","SEBMSTPH3",2057,0
"REGION1","SEBMSTPH3",2058,0
"REGION1","SEBMSTPH3",2059,0
"REGION1","SEBMSTPH3",2060,0
"REGION1","SECO00I00",2015,28.965619792548
"REGION1","SECO00I00",2016,32.527972106284
"REGION1","SECO00I00",2017,36.251834207088
"REGION1","SECO00I00",2018,40.13701103712
"REGION1","SECO00I00",2019,44.183829761896
"REGION1","SECO00I00",2020,48.39210188064
"REGION1","SECO00I00",2021,49.693180911192
"REGION1","SECO00I00",2022,50.997339266076
