REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBMCCPH1",2060,119.925044060476
"REGION1","SEBMSTPH3",2030,392.892685013757
"REGION1","SEBMSTPH3",2035,2329.45811251031
"REGION1","SEBMSTPH3",2040,1234.85774408874
"REGION1","SEBMSTPH3",2041,3805.69613355003
"REGION1","SEBMSTPH3",2043,537.773188320361
"REGION1","SEBMSTPH3",2045,1125.00244693742
"REGION1","SEGOCVPH2",2024,0.866531170220798
"REGION1","SEGOCVPH2",2025,0.217418846795782
"REGION1","SEGOCVPH2",2026,0.862985740418655
"REGION1","SEGOCVPH2",2027,0.861744714662128
"REGION1","SEGOCVPH2",2028,0.860478479460736
"REGION1","SEGOCVPH2",2029,0.859224279852258
"REGION1","SEGOCVPH2",2030,0.857912147827436
"REGION1","SEGOCVPH2",2031,0.860334738060081
"REGION1","SEGOCVPH2",2032,0.861258145526192
"REGION1","SEGOCVPH2",2033,0.862099411056298
"REGION1","SEGOCVPH2",2034,0.863024067922778
"REGION1","SEGOCVPH2",2035,0.86386116534884
"REGION1","SEGOCVPH2",2036,0.864742194524981
"REGION1","SEGOCVPH2",2037,0.865675427981322
"REGION1","SEGOCVPH2",2038,0.8665060765913
"REGION1","SEGOCVPH2",2039,0.867440304852123
"REGION1","SEGOCVPH2",2040,0.868266503034388
"REGION1","SEGOCVPH2",2041,0.657825522069452
"REGION1","SEGOCVPH2",2042,0.658381814359944
"REGION1","SEGOCVPH2",2043,0.658912207135743
"REGION1","SEGOCVPH2",2044,0.659489568131308
"REGION1","SEGOCVPH2",2045,0.660043187981662
"REGION1","SEGOCVPH2",2046,0.242806680457405
"REGION1","SEGOCVPH2",2047,0.242984551880722
"REGION1","SEGOCVPH2",2048,0.243211844088985
"REGION1","SEGOCVPH2",2049,0.243388227561936
"REGION1","SEGOCVPH2",2050,0.243614701272962
"REGION1","SEGOCVPH2",2051,0.194557291464202
"REGION1","SEGOCVPH2",2052,0.196687966853948
"REGION1","SEGOCVPH2",2053,0.198899748707056
"REGION1","SEGOCVPH2",2054,0.201093255861503
"REGION1","SEGOCVPH2",2055,0.203296559879237
"REGION1","SEGOCVPH2",2056,0.205479982747632
"REGION1","SEGOCVPH2",2057,0.207791257045075
"REGION1","SEGOCVPH2",2058,0.210084449003553
"REGION1","SEGOCVPH2",2059,0.212409589325502
"REGION1","SEGOCVPH2",2060,0.214717220066748
"REGION1","SEHFCHPH3",2021,451.795026674673
"REGION1","SEHFCHPH3",2022,1752.42512514757
"REGION1","SEHFCHPH3",2023,445.133462281299
"REGION1","SEHFCHPH3",2024,133.526551412539
"REGION1","SEHFCHPH3",2030,597.944873684227
"REGION1","SEHFCHPH3",2031,159.95580876063
"REGION1","SEHFCHPH3",2032,51.9522634870726
"REGION1","SEHFCHPH3",2033,58.9112558634545
"REGION1","SEHFCHPH3",2034,235.777532556873
"REGION1","SEHFCHPH3",2035,162.001586270417
"REGION1","SEHFCHPH3",2036,77.6882159358778
"REGION1","SEHFCHPH3",2037,81.385251117694
"REGION1","SEHFCHPH3",2038,110.800065175908
"REGION1","SEHFCHPH3",2039,180.427062309746
"REGION1","SEHFCHPH3",2040,193.316623351623
"REGION1","SEHFCHPH3",2041,198.303655111796
"REGION1","SEHFCHPH3",2042,212.514265581537
"REGION1","SEHFCHPH3",2043,344.981104830143
"REGION1","SEHFCHPH3",2044,251.650402313918
"REGION1","SEHFCHPH3",2045,214.586398750045
"REGION1","SEHFCHPH3",2046,520.096320040051
"REGION1","SEHFCHPH3",2047,1820.77099053184
"REGION1","SEHFCHPH3",2048,513.525553347172
"REGION1","SEHFCHPH3",2049,201.96653633604
"REGION1","SEHFCHPH3",2050,73.2501622161664
"REGION1","SEHFCHPH3",2051,38.0976625059966
"REGION1","SEHFCHPH3",2052,38.2851279636317
"REGION1","SEHFCHPH3",2053,38.5032112375823
"REGION1","SEHFCHPH3",2054,291.766615572445
"REGION1","SEHFCHPH3",2055,615.736088955073
"REGION1","SEHFCHPH3",2056,127.274241544256
"REGION1","SEHFCHPH3",2057,102.705361406873
"REGION1","SEHFCHPH3",2058,156.937888286801
"REGION1","SEHFCHPH3",2059,331.054496367326
"REGION1","SEHFCHPH3",2060,194.772721899731
"REGION1","SEHYDMPH3",2030,6806.50594225912
"REGION1","SEHYDMPH3",2031,390.96433191195
"REGION1","SEHYDMPH3",2032,669.549654771757
"REGION1","SEHYDMPH3",2033,1130.5847671718
"REGION1","SEHYDMPH3",2034,949.540718571784
"REGION1","SEHYDMPH3",2035,1226.22146969179
"REGION1","SEHYDMPH3",2036,689.566096009561
"REGION1","SEHYDMPH3",2037,1086.23426672109
"REGION1","SEHYDMPH3",2038,1300.11499712111
"REGION1","SEHYDMPH3",2039,586.045267834129
"REGION1","SEHYDMPH3",2040,969.932393748234
"REGION1","SEHYDMPH3",2041,1712.17733595022
"REGION1","SEHYDMPH3",2043,1817.1393431055
"REGION1","SEHYDMPH3",2044,186.075136277171
"REGION1","SEHYDMPH3",2045,2610.18036147057
"REGION1","SEHYDMPH3",2046,583.990961148616
"REGION1","SEHYDMPH3",2047,1586.82339983716
"REGION1","SEHYDMPH3",2048,1064.09571185148
"REGION1","SEHYDMPH3",2049,566.162461540009
"REGION1","SEHYDMPH3",2050,946.693123254351
"REGION1","SEHYDMPH3",2051,995.469639500941
"REGION1","SEHYDMPH3",2052,686.310692180532
"REGION1","SEHYDMPH3",2053,1161.55398029025
"REGION1","SEHYDMPH3",2054,788.984973669388
"REGION1","SEHYDMPH3",2055,1995.621461595
"REGION1","SEHYDMPH3",2056,1513.58981461276
"REGION1","SEHYDMPH3",2057,236.306174013151
"REGION1","SEHYDMPH3",2058,991.010216181937
"REGION1","SEHYDMPH3",2060,2672.66653047102
"REGION1","SEWIONPN3",2030,2480
"REGION1","SEWIONPN3",2031,1434.89708263564
"REGION1","SEWIONPN3",2032,721.949110228682
"REGION1","SEWIONPN3",2033,858.551517567149
"REGION1","SEWIONPN3",2034,1006.2293262285
"REGION1","SEWIONPN3",2035,2440.64
"REGION1","SEWIONPN3",2036,1424.97292098841
"REGION1","SEWIONPN3",2037,1408.95816035325
"REGION1","SEWIONPN3",2038,1717.24541069679
"REGION1","SEWIONPN3",2039,2409.14
"REGION1","SEWIONPN3",2040,2401.26
"REGION1","SEWIONPN3",2041,2395.36
"REGION1","SEWIONPN3",2042,1510.91612261519
"REGION1","SEWIONPN3",2043,2383.56
"REGION1","SEWIONPN3",2044,2377.66
"REGION1","SEWIONPN3",2045,2371.74
"REGION1","SEWIONPN3",2046,1314.3157073732
"REGION1","SEWIONPN3",2047,1311.6530542755
"REGION1","SEWIONPN3",2048,1308.9224885751
"REGION1","SEWIONPN3",2049,1306.28508978591
"REGION1","SEWIONPN3",2050,1108.34032031069
"REGION1","SEWIONPN3",2051,325.218450110599
"REGION1","SEWIONPN3",2052,321.381996176949
"REGION1","SEWIONPN3",2053,317.780587058887
"REGION1","SEWIONPN3",2054,628.693418913525
"REGION1","SEWIONPN3",2055,2242.22
"REGION1","SEWIONPN3",2056,1563.38298352889
"REGION1","SEWIONPN3",2057,915.000789288246
"REGION1","SEWIONPN3",2058,1374.19553724487
"REGION1","SEWIONPN3",2059,1475.31861198669
"REGION1","SEWIONPN3",2060,2142.22
"REGION1","SEWSSTPH1",2024,2118.98018784144
"REGION1","SEWSSTPH1",2025,738.382379530878
"REGION1","SEWSSTPH1",2026,763.412871606811
"REGION1","SEWSSTPH1",2027,500.544935585036
"REGION1","SEWSSTPH1",2028,557.564068014579
"REGION1","SEWSSTPH1",2029,933.798530105429
"REGION1","SEWSSTPH1",2030,344.575607957548
"REGION1","SEWSSTPH1",2054,897.852918998305
"REGION1","SEWSSTPH1",2055,480.699326358988
"REGION1","SEWSSTPH1",2056,492.718161067874
"REGION1","SEWSSTPH1",2057,300.457558006217
"REGION1","SEWSSTPH1",2058,343.7305755062
"REGION1","SEWSSTPH1",2059,620.831114589313
"REGION1","SEWSSTPH1",2060,190.409806599683
"REGION1","SEstHY003",2044,203.420006679029
"REGION1","SEstHY003",2045,317.810489475609
"REGION1","SEstHY003",2046,355.493136164839
"REGION1","SEstHY003",2047,326.428853063603
"REGION1","SEstHY003",2048,342.47485510126
"REGION1","SEstHY003",2049,341.667448791274
"REGION1","SEstHY003",2050,242.699567801117
"REGION1","SEstHY003",2054,16.761760586054
"REGION1","SEstHY003",2055,2.17985519270985
"REGION1","SEstHY003",2056,37.434226842563
"REGION1","SEstHY003",2057,3.72898579909139
"REGION1","SEstHY003",2059,0.170759684582004
"REGION1","SEstHY003",2060,17.7733380597692
"REGION1","SEstEA004",2026,610.054563134514
"REGION1","SEstEA004",2029,30.1773063136221
"REGION1","SEstEA004",2030,65.4190557816728
"REGION1","SEstEA004",2031,856.603637904707
"REGION1","SEstEA004",2051,7.01653406339746
"REGION1","SEceCO001",2025,477.178702789195
"REGION1","SEceCO001",2026,2.66155451754901
"REGION1","SEceCO001",2027,2.66155451754946
"REGION1","SEceCO001",2028,2.66155451755054
"REGION1","SEceCO001",2029,0.156192488603606
"REGION1","SEceCO001",2054,0.0399869691128785
"REGION1","SEceCO001",2055,0.263336531059128
"REGION1","SEceAM002",2029,3.82305652914717
"REGION1","SEceAM002",2030,4.03044287257149
"REGION1","SEcePL003",2031,33.9279379971462
"REGION1","SEcePL003",2032,35.2068748100538
"REGION1","SEcePL003",2033,34.1443591119908
"REGION1","SEcePL003",2034,33.9250471499414
"REGION1","SEcePL003",2035,33.7133712656811
"REGION1","SEcePL003",2036,33.4978773425266
"REGION1","SEcePL003",2037,33.2786381295216
"REGION1","SEcePL003",2038,33.0675166297816
"REGION1","SEcePL003",2039,32.8470757359832
"REGION1","SEcePL003",2040,33.4448229900404
"REGION1","SEcePL003",2041,26.6261973049424
"REGION1","SEcePL003",2042,30.159607227213
"REGION1","SEcePL003",2043,36.3082820331576
"REGION1","SEcePL003",2044,23.4320857221245
"REGION1","SEcePL003",2045,30.6488211946101
"REGION1","SEcePL003",2046,30.5698279528447
"REGION1","SEcePL003",2047,30.3562220996116
"REGION1","SEcePL003",2048,30.1494490290218
"REGION1","SEcePL003",2049,29.9358904813225
"REGION1","SEcePL003",2050,33.5433728421991
"REGION1","SEcePL003",2051,2.36759070024556
"REGION1","SEcePL003",2052,2.11739416395363
"REGION1","SEcePL003",2053,2.14249920803936
"REGION1","SEcePL003",2054,3.23815053829144
"REGION1","SEcePL003",2055,5.35310591991066
"REGION1","SEcePL003",2056,31.4508341357463
"REGION1","SEcePL003",2057,32.4752636481664
"REGION1","SEcePL003",2058,31.5248399317849
"REGION1","SEcePL003",2059,31.285379943997
"REGION1","SEcePL003",2060,31.0523431824952
"REGION1","SEppCO001",2015,13874.9169860712
"REGION1","SEppCO001",2016,371.785546348789
"REGION1","SEppCO001",2017,381.735032562339
"REGION1","SEppCO001",2018,391.964293432153
"REGION1","SEppCO001",2019,517.583114096705
"REGION1","SEppCO001",2023,138.016958205781
"REGION1","SEppCO001",2024,164.72779268709
"REGION1","SEppCO001",2025,166.601296008911
"REGION1","SEppCO001",2026,168.50795868157
"REGION1","SEppCO001",2027,170.414621354222
"REGION1","SEppCO001",2028,172.354443377705
"REGION1","SEppCO001",2029,174.327424752012
"REGION1","SEppCO001",2030,176.226900742643
"REGION1","SEppCO001",2031,178.422604579364
"REGION1","SEppCO001",2032,180.246368874945
"REGION1","SEppCO001",2033,182.401726678811
"REGION1","SEppCO001",2034,184.557084482683
"REGION1","SEppCO001",2035,186.546645532408
"REGION1","SEppCO001",2036,188.702003336273
"REGION1","SEppCO001",2037,190.691564386001
"REGION1","SEppCO001",2038,193.005532261995
"REGION1","SEppCO001",2039,195.168076747877
"REGION1","SEppCO001",2040,14072.240420623
"REGION1","SEppCO001",2041,571.430135458555
"REGION1","SEppCO001",2042,583.534979475971
"REGION1","SEppCO001",2043,596.251191657938
"REGION1","SEppCO001",2044,724.025370126357
"REGION1","SEppCO001",2045,208.763410587672
"REGION1","SEppCO001",2046,211.243175217803
"REGION1","SEppCO001",2047,213.571516457834
"REGION1","SEppCO001",2048,353.909629221624
"REGION1","SEppCO001",2049,383.107415015099
"REGION1","SEppCO001",2050,388.186537850821
"REGION1","SEppCO001",2051,397.804869662357
"REGION1","SEppCO001",2052,402.364280401308
"REGION1","SEppCO001",2053,406.791053736949
"REGION1","SEppCO001",2054,411.250986423416
"REGION1","SEppCO001",2055,415.803210480347
"REGION1","SEppCO001",2056,420.651662383365
"REGION1","SEppCO001",2057,425.128174745249
"REGION1","SEppCO001",2058,429.936280615411
"REGION1","SEppCO001",2059,434.910183239719
"REGION1","SEppCO001",2060,439.552492355749
"REGION1","SEppBC002",2020,841.82294085365
"REGION1","SEppBC002",2021,19.6201619353846
"REGION1","SEppBC002",2022,19.6898008514339
"REGION1","SEppBC002",2023,19.7412160679941
"REGION1","SEppBC002",2024,19.8031665164363
"REGION1","SEppBC002",2025,19.8644389307231
"REGION1","SEppBC002",2026,19.9280150890951
"REGION1","SEppBC002",2027,19.9906341527634
"REGION1","SEppBC002",2028,20.053677327357
"REGION1","SEppBC002",2029,20.1189844166278
"REGION1","SEppBC002",2030,20.1868722968538
"REGION1","SEppBC002",2031,20.2559848494527
"REGION1","SEppBC002",2032,20.3070407236405
"REGION1","SEppBC002",2033,20.3808851949355
"REGION1","SEppBC002",2034,20.4526723564687
"REGION1","SEppBC002",2035,20.5130553529202
"REGION1","SEppBC002",2036,20.5836886120623
"REGION1","SEppBC002",2037,20.6410372082814
"REGION1","SEppBC002",2038,20.7295606385254
"REGION1","SEppBC002",2039,20.7870768628483
"REGION1","SEppBC002",2040,20.8533683383431
"REGION1","SEppBC002",2041,20.9285931505836
"REGION1","SEppBC002",2042,20.9926721214398
"REGION1","SEppBC002",2043,21.0765415902945
"REGION1","SEppBC002",2044,21.1383664437008
"REGION1","SEppBC002",2045,791.859504959557
"REGION1","SEppBC002",2046,39.19049063235
"REGION1","SEppBC002",2047,39.3085427334226
"REGION1","SEppBC002",2048,39.4161671600612
"REGION1","SEppBC002",2049,39.544002035025
"REGION1","SEppBC002",2050,38.8231445030187
"REGION1","SEppBC002",2051,32.8298005262573
"REGION1","SEppBC002",2052,32.9904218025963
"REGION1","SEppBC002",2053,33.1419950637605
"REGION1","SEppBC002",2054,33.2934453239345
"REGION1","SEppBC002",2055,33.4554898736823
"REGION1","SEppBC002",2056,33.6180805253363
"REGION1","SEppBC002",2057,33.7619567516175
"REGION1","SEppBC002",2058,33.9259869975503
"REGION1","SEppBC002",2059,34.0960987514616
"REGION1","SEppBC002",2060,34.2450003078943
