REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S01B1","SEE2",2015,20.124017475
"REGION1","S01B1","SEE2",2016,20.334033175
"REGION1","S01B1","SEE2",2017,20.54409465
"REGION1","S01B1","SEE2",2018,20.754156125
"REGION1","S01B1","SEE2",2019,20.964171825
"REGION1","S01B1","SEE2",2020,21.1742333
"REGION1","S01B1","SEE2",2021,21.306477275
"REGION1","S01B1","SEE2",2022,21.43872125
"REGION1","S01B1","SEE2",2023,21.570965225
"REGION1","S01B1","SEE2",2024,21.7032092
"REGION1","S01B1","SEE2",2025,21.835453175
"REGION1","S01B1","SEE2",2026,21.991454375
"REGION1","S01B1","SEE2",2027,22.147455575
"REGION1","S01B1","SEE2",2028,22.303456775
"REGION1","S01B1","SEE2",2029,22.459457975
"REGION1","S01B1","SEE2",2030,22.615459175
"REGION1","S01B1","SEE2",2031,22.74349185
"REGION1","S01B1","SEE2",2032,22.871524525
"REGION1","S01B1","SEE2",2033,22.999511425
"REGION1","S01B1","SEE2",2034,23.1275441
"REGION1","S01B1","SEE2",2035,23.255576775
"REGION1","S01B1","SEE2",2036,23.403887775
"REGION1","S01B1","SEE2",2037,23.55224455
"REGION1","S01B1","SEE2",2038,23.700601325
"REGION1","S01B1","SEE2",2039,23.848912325
"REGION1","S01B1","SEE2",2040,23.9972691
"REGION1","S01B1","SEE2",2041,24.2272427
"REGION1","S01B1","SEE2",2042,24.4572163
"REGION1","S01B1","SEE2",2043,24.6871899
"REGION1","S01B1","SEE2",2044,24.9171635
"REGION1","S01B1","SEE2",2045,25.147182875
"REGION1","S01B1","SEE2",2046,25.3514767
"REGION1","S01B1","SEE2",2047,25.555770525
"REGION1","S01B1","SEE2",2048,25.76006435
"REGION1","S01B1","SEE2",2049,25.964358175
"REGION1","S01B1","SEE2",2050,26.168652
"REGION1","S01B1","SEE2",2051,26.2779627
"REGION1","S01B1","SEE2",2052,26.387685375
"REGION1","S01B1","SEE2",2053,26.497820025
"REGION1","S01B1","SEE2",2054,26.6084582
"REGION1","S01B1","SEE2",2055,26.719462575
"REGION1","S01B1","SEE2",2056,26.8030935
"REGION1","S01B1","SEE2",2057,26.8869533
"REGION1","S01B1","SEE2",2058,26.97108775
"REGION1","S01B1","SEE2",2059,27.055451075
"REGION1","S01B1","SEE2",2060,27.14008905
"REGION1","S01B2","SEE2",2015,62.207943129
"REGION1","S01B2","SEE2",2016,62.857149717
"REGION1","S01B2","SEE2",2017,63.506497806
"REGION1","S01B2","SEE2",2018,64.155845895
"REGION1","S01B2","SEE2",2019,64.805052483
"REGION1","S01B2","SEE2",2020,65.454400572
"REGION1","S01B2","SEE2",2021,65.863196961
"REGION1","S01B2","SEE2",2022,66.27199335
"REGION1","S01B2","SEE2",2023,66.680789739
"REGION1","S01B2","SEE2",2024,67.089586128
"REGION1","S01B2","SEE2",2025,67.498382517
"REGION1","S01B2","SEE2",2026,67.980617925
"REGION1","S01B2","SEE2",2027,68.462853333
"REGION1","S01B2","SEE2",2028,68.945088741
"REGION1","S01B2","SEE2",2029,69.427324149
"REGION1","S01B2","SEE2",2030,69.909559557
"REGION1","S01B2","SEE2",2031,70.305337854
"REGION1","S01B2","SEE2",2032,70.701116151
"REGION1","S01B2","SEE2",2033,71.096752947
"REGION1","S01B2","SEE2",2034,71.492531244
"REGION1","S01B2","SEE2",2035,71.888309541
"REGION1","S01B2","SEE2",2036,72.346772781
"REGION1","S01B2","SEE2",2037,72.805377522
"REGION1","S01B2","SEE2",2038,73.263982263
"REGION1","S01B2","SEE2",2039,73.722445503
"REGION1","S01B2","SEE2",2040,74.181050244
"REGION1","S01B2","SEE2",2041,74.891951268
"REGION1","S01B2","SEE2",2042,75.602852292
"REGION1","S01B2","SEE2",2043,76.313753316
"REGION1","S01B2","SEE2",2044,77.02465434
"REGION1","S01B2","SEE2",2045,77.735696865
"REGION1","S01B2","SEE2",2046,78.367215828
"REGION1","S01B2","SEE2",2047,78.998734791
"REGION1","S01B2","SEE2",2048,79.630253754
"REGION1","S01B2","SEE2",2049,80.261772717
"REGION1","S01B2","SEE2",2050,80.89329168
"REGION1","S01B2","SEE2",2051,81.231196068
"REGION1","S01B2","SEE2",2052,81.570373965
"REGION1","S01B2","SEE2",2053,81.910825371
"REGION1","S01B2","SEE2",2054,82.252833288
"REGION1","S01B2","SEE2",2055,82.595973213
"REGION1","S01B2","SEE2",2056,82.85449554
"REGION1","S01B2","SEE2",2057,83.113725372
"REGION1","S01B2","SEE2",2058,83.37380421
"REGION1","S01B2","SEE2",2059,83.634590553
"REGION1","S01B2","SEE2",2060,83.896225902
"REGION1","S01B3","SEE2",2015,11.1017313225
"REGION1","S01B3","SEE2",2016,11.2175897925
"REGION1","S01B3","SEE2",2017,11.333473515
"REGION1","S01B3","SEE2",2018,11.4493572375
"REGION1","S01B3","SEE2",2019,11.5652157075
"REGION1","S01B3","SEE2",2020,11.68109943
"REGION1","S01B3","SEE2",2021,11.7540539025
"REGION1","S01B3","SEE2",2022,11.827008375
"REGION1","S01B3","SEE2",2023,11.8999628475
"REGION1","S01B3","SEE2",2024,11.97291732
"REGION1","S01B3","SEE2",2025,12.0458717925
"REGION1","S01B3","SEE2",2026,12.1319323125
"REGION1","S01B3","SEE2",2027,12.2179928325
"REGION1","S01B3","SEE2",2028,12.3040533525
"REGION1","S01B3","SEE2",2029,12.3901138725
"REGION1","S01B3","SEE2",2030,12.4761743925
"REGION1","S01B3","SEE2",2031,12.546805635
"REGION1","S01B3","SEE2",2032,12.6174368775
"REGION1","S01B3","SEE2",2033,12.6880428675
"REGION1","S01B3","SEE2",2034,12.75867411
"REGION1","S01B3","SEE2",2035,12.8293053525
"REGION1","S01B3","SEE2",2036,12.9111234525
"REGION1","S01B3","SEE2",2037,12.992966805
"REGION1","S01B3","SEE2",2038,13.0748101575
"REGION1","S01B3","SEE2",2039,13.1566282575
"REGION1","S01B3","SEE2",2040,13.23847161
"REGION1","S01B3","SEE2",2041,13.36534017
"REGION1","S01B3","SEE2",2042,13.49220873
"REGION1","S01B3","SEE2",2043,13.61907729
"REGION1","S01B3","SEE2",2044,13.74594585
"REGION1","S01B3","SEE2",2045,13.8728396625
"REGION1","S01B3","SEE2",2046,13.98554157
"REGION1","S01B3","SEE2",2047,14.0982434775
"REGION1","S01B3","SEE2",2048,14.210945385
"REGION1","S01B3","SEE2",2049,14.3236472925
"REGION1","S01B3","SEE2",2050,14.4363492
"REGION1","S01B3","SEE2",2051,14.49665217
"REGION1","S01B3","SEE2",2052,14.5571824125
"REGION1","S01B3","SEE2",2053,14.6179399275
