REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SECO00I00",2015,111.025242999663
"REGION1","SECO00I00",2016,115.12912530257
"REGION1","SECO00I00",2017,118.590494648455
"REGION1","SECO00I00",2018,121.461059425942
"REGION1","SECO00I00",2019,123.789406841947
"REGION1","SECO00I00",2020,130.154735138023
"REGION1","SECO00I00",2021,127.332217775415
"REGION1","SECO00I00",2022,124.449083548724
"REGION1","SECO00I00",2023,121.559321241044
"REGION1","SECO00I00",2024,118.669741584441
"REGION1","SECO00I00",2025,53.3987859873813
"REGION1","SECO00I00",2026,57.7244263819797
"REGION1","SECO00I00",2027,61.7580263696374
"REGION1","SECO00I00",2028,65.506180227546
"REGION1","SECO00I00",2029,68.9758555481011
"REGION1","SECO00I00",2030,72.1747644709383
"REGION1","SECO00I00",2031,25.0321795814641
"REGION1","SECO00I00",2032,24.2664782881388
"REGION1","SECO00I00",2033,23.5031370066033
"REGION1","SECO00I00",2034,22.8588769105533
"REGION1","SECO00I00",2035,22.1175744038739
"REGION1","SECO00I00",2036,21.3578207081372
"REGION1","SECO00I00",2037,20.7115668837161
"REGION1","SECO00I00",2038,20.0100296738676
"REGION1","SECO00I00",2039,19.4870717331423
"REGION1","SECO00I00",2040,18.9752058150475
"REGION1","SECO00I00",2041,18.4936831413245
"REGION1","SECO00I00",2042,17.9967499911905
"REGION1","SECO00I00",2043,17.306852912778
"REGION1","SECO00I00",2044,16.8554828850716
"REGION1","SECO00I00",2045,16.0184860426596
"REGION1","SECO00I00",2046,15.5132057796313
"REGION1","SECO00I00",2047,15.0199312514299
"REGION1","SECO00I00",2048,14.5386388826686
"REGION1","SECO00I00",2049,2.0249831765057
"REGION1","SECO00I00",2050,1.95683887421794
"REGION1","SECO00I00",2051,1.83136205767706
"REGION1","SECO00I00",2052,1.71179070592021
"REGION1","SECO00I00",2053,1.48945493829219
"REGION1","SECO00I00",2054,1.43620848161765
"REGION1","SECO00I00",2055,1.3865070386176
"REGION1","SECO00I00",2056,1.33828235780436
"REGION1","SECO00I00",2057,1.29150649684495
"REGION1","SECO00I00",2058,1.24615082591386
"REGION1","SECO00I00",2059,1.20218615652985
"REGION1","SECO00I00",2060,1.15958285968148
"REGION1","SECO00X00",2015,88.1111204912903
"REGION1","SECO00X00",2016,74.7246619041411
"REGION1","SECO00X00",2017,62.4132147784286
"REGION1","SECO00X00",2018,51.1049293175903
"REGION1","SECO00X00",2019,40.7320144138665
"REGION1","SECO00X00",2020,32.3584694998078
"REGION1","SECO00X00",2021,31.6153155293481
"REGION1","SECO00X00",2022,30.8590734256506
"REGION1","SECO00X00",2023,30.1031643215583
"REGION1","SECO00X00",2024,29.3492713375256
"REGION1","SECO00X00",2025,28.5989165417191
"REGION1","SECO00X00",2026,22.2827919830438
"REGION1","SECO00X00",2027,16.2685310223405
"REGION1","SECO00X00",2028,10.5528226907076
"REGION1","SECO00X00",2029,5.13166176745161
"REGION1","SEHF00I00",2015,110.791203254147
"REGION1","SEHF00I00",2016,108.342772003627
"REGION1","SEHF00I00",2017,105.948357908858
"REGION1","SEHF00I00",2018,103.606866840923
"REGION1","SEHF00I00",2019,102.073354260042
"REGION1","SEHF00I00",2020,102.648504171105
"REGION1","SEHF00I00",2021,101.394294768895
"REGION1","SEHF00I00",2022,100.057569760867
"REGION1","SEHF00I00",2023,98.680283967987
"REGION1","SEHF00I00",2024,97.2672721582007
"REGION1","SEHF00I00",2025,95.8230651057222
"REGION1","SEHF00I00",2026,94.3520032439011
"REGION1","SEHF00I00",2027,92.8579540796242
"REGION1","SEHF00I00",2028,91.3447222939625
"REGION1","SEHF00I00",2029,89.8158582085495
"REGION1","SEHF00I00",2030,88.2741470024119
"REGION1","SEHF00I00",2031,86.7239881166503
"REGION1","SEHF00I00",2032,85.1662015241133
"REGION1","SEHF00I00",2033,83.604998399339
"REGION1","SEHF00I00",2034,82.0426695399519
"REGION1","SEHF00I00",2035,80.4805885975458
"REGION1","SEHF00I00",2036,78.9215293478706
"REGION1","SEHF00I00",2037,77.3666106052011
"REGION1","SEHF00I00",2038,75.8189644360301
"REGION1","SEHF00I00",2039,74.2794223062372
"REGION1","SEHF00I00",2040,72.7494259937341
"REGION1","SEHF00I00",2041,71.2309281522256
"REGION1","SEHF00I00",2042,69.7244838237715
"REGION1","SEHF00I00",2043,68.2323846111065
"REGION1","SEHF00I00",2044,66.7544075557288
"REGION1","SEHF00I00",2045,65.2920384193249
"REGION1","SEHF00I00",2046,63.8466063247239
"REGION1","SEHF00I00",2047,62.4182674586587
"REGION1","SEHF00I00",2048,61.0076726025097
"REGION1","SEHF00I00",2049,59.6158839422573
"REGION1","SEHF00I00",2050,58.243372133522
"REGION1","SEHF00I00",2051,56.8905506311659
"REGION1","SEHF00I00",2052,55.5582116005491
"REGION1","SEHF00I00",2053,54.246202857678
"REGION1","SEHF00I00",2054,52.9547884436703
"REGION1","SEHF00I00",2055,51.6845776055595
"REGION1","SEHF00I00",2056,50.4357087101661
"REGION1","SEHF00I00",2057,49.2082841428292
"REGION1","SEHF00I00",2058,48.0023727605694
"REGION1","SEHF00I00",2059,46.8183496282824
"REGION1","SEHF00I00",2060,45.65586198381
"REGION1","SENG00I00",2015,26.8432968750623
"REGION1","SENG00I00",2016,25.5650446429165
"REGION1","SENG00I00",2017,24.3476615646824
"REGION1","SENG00I00",2018,23.1882491092213
"REGION1","SENG00I00",2019,22.0840467706869
"REGION1","SENG00I00",2020,21.7915836104017
"REGION1","SENG00I00",2021,21.2911117978288
"REGION1","SENG00I00",2022,20.7818258740143
"REGION1","SENG00I00",2023,20.2837187647363
"REGION1","SENG00I00",2024,19.7650602807364
"REGION1","SENG00I00",2025,57.7313650849455
"REGION1","SENG00I00",2026,56.2265701850391
"REGION1","SENG00I00",2027,54.7341789602145
"REGION1","SENG00I00",2028,53.2564223414162
"REGION1","SENG00I00",2029,51.7952906637275
"REGION1","SENG00I00",2030,50.3525515214617
"REGION1","SENG00I00",2031,75.7937556476244
"REGION1","SENG00I00",2032,73.622850040795
"REGION1","SENG00I00",2033,71.4868294222632
"REGION1","SENG00I00",2034,69.3872941006419
"REGION1","SENG00I00",2035,67.3256128699181
"REGION1","SENG00I00",2036,65.3029414296473
"REGION1","SENG00I00",2037,63.3202395758197
"REGION1","SENG00I00",2038,61.378287237709
"REGION1","SENG00I00",2039,59.4776994316274
"REGION1","SENG00I00",2040,57.6189401983751
"REGION1","SENG00I00",2041,55.8023355872653
"REGION1","SENG00I00",2042,54.028085745925
"REGION1","SENG00I00",2043,52.2962761715891
"REGION1","SENG00I00",2044,50.6068881763378
"REGION1","SENG00I00",2045,48.9598086156191
"REGION1","SENG00I00",2046,47.3548389264964
"REGION1","SENG00I00",2047,45.7917035192957
"REGION1","SENG00I00",2048,44.2700575637409
"REGION1","SENG00I00",2049,42.7894942082181
"REGION1","SENG00I00",2050,41.3495512684962
"REGION1","SENG00I00",2051,39.9497174200669
"REGION1","SENG00I00",2052,38.5894379262081
"REGION1","SENG00I00",2053,37.2681199319458
"REGION1","SENG00I00",2054,35.9851373522701
"REGION1","SENG00I00",2055,34.739835381244
"REGION1","SENG00I00",2056,33.5315346470225
"REGION1","SENG00I00",2057,32.3595350362841
"REGION1","SENG00I00",2058,31.2231192101352
"REGION1","SENG00I00",2059,30.1215558321995
"REGION1","SENG00I00",2060,29.0541025283299
"REGION1","SECK00X00",2015,416.573848895365
"REGION1","SECK00X00",2016,396.832594333103
"REGION1","SECK00X00",2017,378.026847350704
"REGION1","SECK00X00",2018,360.112276737756
"REGION1","SECK00X00",2019,343.046651971504
"REGION1","SECK00X00",2020,338.585106302667
"REGION1","SECK00X00",2021,330.888676678836
"REGION1","SECK00X00",2022,323.051489712216
"REGION1","SECK00X00",2023,315.21398087966
"REGION1","SECK00X00",2024,307.393781099087
"REGION1","SECK00X00",2025,142.417965972006
"REGION1","SECK00X00",2026,138.775916177043
"REGION1","SECK00X00",2027,135.160741690706
"REGION1","SECK00X00",2028,131.578000782924
"REGION1","SECK00X00",2029,128.032668127276
"REGION1","SECK00X00",2030,124.529177458557
"REGION1","SECK00X00",2031,10.5132552044271
"REGION1","SECK00X00",2032,10.1888558541959
"REGION1","SECK00X00",2033,9.86491879882065
"REGION1","SECK00X00",2034,9.59717352963225
"REGION1","SECK00X00",2035,9.28234745055267
"REGION1","SECK00X00",2036,8.95796310092626
"REGION1","SECK00X00",2037,8.68703780112043
"REGION1","SECK00X00",2038,8.38892559498898
"REGION1","SECK00X00",2039,8.17533555216214
"REGION1","SECK00X00",2040,7.96624686895279
"REGION1","SECK00X00",2041,7.77085001654903
"REGION1","SECK00X00",2042,7.56728372538042
"REGION1","SECK00X00",2043,7.27072558465176
"REGION1","SECK00X00",2044,7.08730768907022
"REGION1","SECK00X00",2045,6.71886160236437
"REGION1","SECK00X00",2046,6.50808017704193
"REGION1","SECK00X00",2047,6.30223650079612
