REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBM00X00","SEBM",2016,0.0355577313839956
"REGION1","S01B1","SEBM00X00","SEBM",2017,0.0358326195429718
"REGION1","S01B1","SEBM00X00","SEBM",2018,0.0356407893849378
"REGION1","S01B1","SEBM00X00","SEBM",2020,4.9454215124591
"REGION1","S01B1","SEBM00X00","SEBM",2021,4.50617432095433
"REGION1","S01B1","SEBM00X00","SEBM",2022,11.734670068484
"REGION1","S01B1","SEBM00X00","SEBM",2023,10.8013813880202
"REGION1","S01B1","SEBM00X00","SEBM",2024,8.86334336085571
"REGION1","S01B1","SEBM00X00","SEBM",2025,11.7815233245905
"REGION1","S01B1","SEBM00X00","SEBM",2026,11.7503243414624
"REGION1","S01B1","SEBM00X00","SEBM",2027,11.629257852973
"REGION1","S01B1","SEBM00X00","SEBM",2028,11.750731837041
"REGION1","S01B1","SEBM00X00","SEBM",2029,11.6296653485517
"REGION1","S01B1","SEBM00X00","SEBM",2030,1.10932642016104
"REGION1","S01B1","SEBM00X00","SEBM",2031,1.13463130708276
"REGION1","S01B1","SEBM00X00","SEBM",2032,1.18864845016201
"REGION1","S01B1","SEBM00X00","SEBM",2033,0.371434650571328
"REGION1","S01B1","SEBM00X00","SEBM",2034,1.1855084848103
"REGION1","S01B1","SEBM00X00","SEBM",2035,5.94466914253561
"REGION1","S01B1","SEBM00X00","SEBM",2036,4.88839680583536
"REGION1","S01B1","SEBM00X00","SEBM",2037,5.94466914253561
"REGION1","S01B1","SEBM00X00","SEBM",2038,5.94466914253561
"REGION1","S01B1","SEBM00X00","SEBM",2039,5.94466914253561
"REGION1","S01B1","SEBM00X00","SEBM",2040,8.4085508688588
"REGION1","S01B1","SEBM00X00","SEBM",2041,15.9525770150784
"REGION1","S01B1","SEBM00X00","SEBM",2042,16.0640931646404
"REGION1","S01B1","SEBM00X00","SEBM",2043,17.0350448034161
"REGION1","S01B1","SEBM00X00","SEBM",2044,17.1003481941469
"REGION1","S01B1","SEBM00X00","SEBM",2045,18.2033536887487
"REGION1","S01B1","SEBM00X00","SEBM",2046,17.8204731588408
"REGION1","S01B1","SEBM00X00","SEBM",2047,18.2037611843273
"REGION1","S01B1","SEBM00X00","SEBM",2048,17.9896135090954
"REGION1","S01B1","SEBM00X00","SEBM",2049,18.1678084543185
"REGION1","S01B1","SEBM00X00","SEBM",2050,17.9856810248451
"REGION1","S01B1","SEBM00X00","SEBM",2051,18.0096345379816
"REGION1","S01B1","SEBM00X00","SEBM",2052,18.0210031095749
"REGION1","S01B1","SEBM00X00","SEBM",2053,18.2049836710634
"REGION1","S01B1","SEBM00X00","SEBM",2054,18.2051874188527
"REGION1","S01B1","SEBM00X00","SEBM",2055,18.205391166642
"REGION1","S01B1","SEBM00X00","SEBM",2056,18.0737998287836
"REGION1","S01B1","SEBM00X00","SEBM",2057,18.0620460054975
"REGION1","S01B1","SEBM00X00","SEBM",2058,18.0789491724345
"REGION1","S01B1","SEBM00X00","SEBM",2059,18.0901613757799
"REGION1","S01B1","SEBM00X00","SEBM",2060,17.3670726743494
"REGION1","S01B1","SEBMCCPH1","SEE1",2020,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2021,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2022,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2023,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2025,0.061489128941568
"REGION1","S01B1","SEBMCHPH3","SEE1",2026,0.0030744564470784
"REGION1","S01B1","SEBMCHPH3","SEE1",2028,0.0030744564470732
"REGION1","S01B1","SEBMSTPH3","SEE1",2020,1.67273386801792
"REGION1","S01B1","SEBMSTPH3","SEE1",2021,1.50513890111102
"REGION1","S01B1","SEBMSTPH3","SEE1",2022,4.03714601743889
"REGION1","S01B1","SEBMSTPH3","SEE1",2023,3.72475656929201
"REGION1","S01B1","SEBMSTPH3","SEE1",2024,3.09153707274039
"REGION1","S01B1","SEBMSTPH3","SEE1",2025,4.05059636902579
"REGION1","S01B1","SEBMSTPH3","SEE1",2026,4.05059636902579
"REGION1","S01B1","SEBMSTPH3","SEE1",2027,4.01173860973854
"REGION1","S01B1","SEBMSTPH3","SEE1",2028,4.05059636902579
"REGION1","S01B1","SEBMSTPH3","SEE1",2029,4.01173860973854
"REGION1","S01B1","SEBMSTPH3","SEE1",2030,0.329544990881926
"REGION1","S01B1","SEBMSTPH3","SEE1",2031,0.267190408695677
"REGION1","S01B1","SEBMSTPH3","SEE1",2032,0.286025115881853
"REGION1","S01B1","SEBMSTPH3","SEE1",2034,0.284926126909769
"REGION1","S01B1","SEBMSTPH3","SEE1",2035,1.95063402282152
"REGION1","S01B1","SEBMSTPH3","SEE1",2036,1.58093833528075
"REGION1","S01B1","SEBMSTPH3","SEE1",2037,1.95063402282152
"REGION1","S01B1","SEBMSTPH3","SEE1",2038,1.95063402282152
"REGION1","S01B1","SEBMSTPH3","SEE1",2039,1.95063402282152
"REGION1","S01B1","SEBMSTPH3","SEE1",2040,2.81299348939411
"REGION1","S01B1","SEBMSTPH3","SEE1",2041,5.45337122128607
"REGION1","S01B1","SEBMSTPH3","SEE1",2042,5.49233060086589
"REGION1","S01B1","SEBMSTPH3","SEE1",2043,5.83208679116611
"REGION1","S01B1","SEBMSTPH3","SEE1",2044,5.85487532853383
"REGION1","S01B1","SEBMSTPH3","SEE1",2045,6.24085268634587
"REGION1","S01B1","SEBMSTPH3","SEE1",2046,6.10677305507223
"REGION1","S01B1","SEBMSTPH3","SEE1",2047,6.24085268634587
"REGION1","S01B1","SEBMSTPH3","SEE1",2048,6.16582961326535
"REGION1","S01B1","SEBMSTPH3","SEE1",2049,6.22812659466414
"REGION1","S01B1","SEBMSTPH3","SEE1",2050,6.16431061880621
