REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","SEBF00X00","SEBF",2024,0.00175458220283143
"REGION1","SEBF00X00","SEBF",2025,0.00132922894153896
"REGION1","SEBFHPFH1","SEE2",2024,0.00114047957232
"REGION1","SEBFHPFH1","SEE2",2025,0.000863999676
"REGION1","SEBM00X00","SEBM",2015,0.708156
"REGION1","SEBM00X00","SEBM",2016,0.7123392
"REGION1","SEBM00X00","SEBM",2017,0.7165224
"REGION1","SEBM00X00","SEBM",2018,0.7207056
"REGION1","SEBM00X00","SEBM",2019,1.61396775438728
"REGION1","SEBM00X00","SEBM",2020,84.5600725379447
"REGION1","SEBM00X00","SEBM",2021,98.5551507958498
"REGION1","SEBM00X00","SEBM",2022,149.359159750155
"REGION1","SEBM00X00","SEBM",2023,160.77363910149
"REGION1","SEBM00X00","SEBM",2024,185.063359673186
"REGION1","SEBM00X00","SEBM",2025,184.139749134161
"REGION1","SEBM00X00","SEBM",2026,188.304903581197
"REGION1","SEBM00X00","SEBM",2027,188.309086781197
"REGION1","SEBM00X00","SEBM",2028,188.313269981197
"REGION1","SEBM00X00","SEBM",2029,188.317453181197
"REGION1","SEBM00X00","SEBM",2030,20.8927393128007
"REGION1","SEBM00X00","SEBM",2031,20.6438757891794
"REGION1","SEBM00X00","SEBM",2032,20.6480589891794
"REGION1","SEBM00X00","SEBM",2033,20.6480589891794
"REGION1","SEBM00X00","SEBM",2034,20.6480589891794
"REGION1","SEBM00X00","SEBM",2035,96.3954547767352
"REGION1","SEBM00X00","SEBM",2036,96.3766261199487
"REGION1","SEBM00X00","SEBM",2037,96.3807199424013
"REGION1","SEBM00X00","SEBM",2038,96.3852499038167
"REGION1","SEBM00X00","SEBM",2039,96.3877930198832
"REGION1","SEBM00X00","SEBM",2040,135.74059619298
"REGION1","SEBM00X00","SEBM",2041,260.09140177848
"REGION1","SEBM00X00","SEBM",2042,257.991504341971
"REGION1","SEBM00X00","SEBM",2043,274.537133616068
"REGION1","SEBM00X00","SEBM",2044,274.541103317321
"REGION1","SEBM00X00","SEBM",2045,292.155712827833
"REGION1","SEBM00X00","SEBM",2046,292.159896027833
"REGION1","SEBM00X00","SEBM",2047,292.164079227833
"REGION1","SEBM00X00","SEBM",2048,292.168262427833
"REGION1","SEBM00X00","SEBM",2049,292.172445627833
"REGION1","SEBM00X00","SEBM",2050,292.176628827833
"REGION1","SEBM00X00","SEBM",2051,292.180812027833
"REGION1","SEBM00X00","SEBM",2052,292.184995227833
"REGION1","SEBM00X00","SEBM",2053,292.189178427833
"REGION1","SEBM00X00","SEBM",2054,292.193361627833
"REGION1","SEBM00X00","SEBM",2055,292.197544827833
"REGION1","SEBM00X00","SEBM",2056,292.193361627833
"REGION1","SEBM00X00","SEBM",2057,292.189178427833
"REGION1","SEBM00X00","SEBM",2058,292.189178427833
"REGION1","SEBM00X00","SEBM",2059,292.189178427833
"REGION1","SEBM00X00","SEBM",2060,281.052791611198
"REGION1","SEBMCCPH1","SEE1",2019,0.325242247150188
"REGION1","SEBMCCPH1","SEE1",2020,0.98190527894291
"REGION1","SEBMCCPH1","SEE1",2021,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2022,0.98190527894291
"REGION1","SEBMCCPH1","SEE1",2023,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2024,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2025,0.981905278942909
"REGION1","SEBMCHPH3","SEE1",2026,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2027,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2028,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2029,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2030,0.0236709308316594
"REGION1","SEBMSTPH3","SEE1",2020,28.4120502112412
"REGION1","SEBMSTPH3","SEE1",2021,33.32182806811
"REGION1","SEBMSTPH3","SEE1",2022,51.1147445518576
"REGION1","SEBMSTPH3","SEE1",2023,55.1213118882161
"REGION1","SEBMSTPH3","SEE1",2024,63.634221594712
"REGION1","SEBMSTPH3","SEE1",2025,63.2024116190197
"REGION1","SEBMSTPH3","SEE1",2026,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2027,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2028,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2029,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2030,6.110453762223
"REGION1","SEBMSTPH3","SEE1",2031,4.63759584380864
"REGION1","SEBMSTPH3","SEE1",2032,4.63759584380864
"REGION1","SEBMSTPH3","SEE1",2033,4.63759584380864
"REGION1","SEBMSTPH3","SEE1",2034,4.63759584380864
"REGION1","SEBMSTPH3","SEE1",2035,31.1492108810682
"REGION1","SEBMSTPH3","SEE1",2036,31.1492108810682
"REGION1","SEBMSTPH3","SEE1",2037,31.1492108810682
"REGION1","SEBMSTPH3","SEE1",2038,31.1492108810682
"REGION1","SEBMSTPH3","SEE1",2039,31.1492108810682
"REGION1","SEBMSTPH3","SEE1",2040,44.9200241475672
"REGION1","SEBMSTPH3","SEE1",2041,88.4421503366353
"REGION1","SEBMSTPH3","SEE1",2042,87.705721377428
"REGION1","SEBMSTPH3","SEE1",2043,93.4951119262573
"REGION1","SEBMSTPH3","SEE1",2044,93.4951119262575
"REGION1","SEBMSTPH3","SEE1",2045,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2046,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2047,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2048,99.6586925739557
"REGION1","SEBMSTPH3","SEE1",2049,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2050,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2051,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2052,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2053,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2054,99.6586925739557
"REGION1","SEBMSTPH3","SEE1",2055,99.6586925739557
"REGION1","SEBMSTPH3","SEE1",2056,99.6586925739555
"REGION1","SEBMSTPH3","SEE1",2057,99.6586925739555
"REGION1","SEBMSTPH3","SEE1",2058,99.6586925739557
"REGION1","SEBMSTPH3","SEE1",2059,99.6586925739556
"REGION1","SEBMSTPH3","SEE1",2060,95.7575256893542
"REGION1","SECO00I00","SECO",2015,11.0787948
"REGION1","SECO00I00","SECO",2016,12.0627212
"REGION1","SECO00I00","SECO",2017,13.0466576
"REGION1","SECO00I00","SECO",2018,14.030584
"REGION1","SECO00I00","SECO",2019,15.0145204
"REGION1","SECO00I00","SECO",2020,15.9984468
"REGION1","SECO00I00","SECO",2021,16.0194132
"REGION1","SECO00I00","SECO",2022,16.0403796
"REGION1","SECO00I00","SECO",2023,16.061346
"REGION1","SECO00I00","SECO",2024,16.0823124
"REGION1","SECO00I00","SECO",2025,15.2831999697341
"REGION1","SECO00I00","SECO",2026,10.739986161792
"REGION1","SECO00I00","SECO",2027,11.5564425617919
"REGION1","SECO00I00","SECO",2028,12.372908961792
"REGION1","SECO00I00","SECO",2029,13.189363361792
"REGION1","SECO00I00","SECO",2030,14.005821761792
"REGION1","SECO00I00","SECO",2031,4.381164
"REGION1","SECO00I00","SECO",2032,4.4021304
"REGION1","SECO00I00","SECO",2033,4.4021304
"REGION1","SECO00I00","SECO",2034,4.4021304
"REGION1","SECO00I00","SECO",2035,4.4021304
"REGION1","SECO00I00","SECO",2036,4.30776026478064
"REGION1","SECO00I00","SECO",2037,4.32827870020598
"REGION1","SECO00I00","SECO",2038,4.35098308513123
"REGION1","SECO00I00","SECO",2039,4.36372930541618
"REGION1","SECO00I00","SECO",2040,4.4021304
"REGION1","SECO00I00","SECO",2041,4.41214430020591
"REGION1","SECO00I00","SECO",2042,4.43311070020591
"REGION1","SECO00I00","SECO",2043,4.45581508513125
"REGION1","SECO00I00","SECO",2044,4.47571141911974
"REGION1","SECO00I00","SECO",2045,4.49774788513125
"REGION1","SECO00I00","SECO",2046,4.51871428513125
"REGION1","SECO00I00","SECO",2047,4.53968068513125
"REGION1","SECO00I00","SECO",2048,4.56064708513125
"REGION1","SECO00I00","SECO",2049,4.58161348513125
"REGION1","SECO00I00","SECO",2050,4.60257988513125
"REGION1","SECO00I00","SECO",2051,4.62354628513125
"REGION1","SECO00I00","SECO",2052,4.64451268513125
"REGION1","SECO00I00","SECO",2053,4.66547908513125
"REGION1","SECO00I00","SECO",2054,4.68644548513125
"REGION1","SECO00I00","SECO",2055,4.70741188513125
"REGION1","SECO00I00","SECO",2056,4.68644548513125
"REGION1","SECO00I00","SECO",2057,4.66547908513125
"REGION1","SECO00I00","SECO",2058,4.66547908513125
"REGION1","SECO00I00","SECO",2059,4.66547908513125
"REGION1","SECO00I00","SECO",2060,4.71456275489534
"REGION1","SECO00X00","SECO",2015,8.79228
"REGION1","SECO00X00","SECO",2016,7.82932
"REGION1","SECO00X00","SECO",2017,6.86635
"REGION1","SECO00X00","SECO",2018,5.90339
"REGION1","SECO00X00","SECO",2019,4.94042
"REGION1","SECO00X00","SECO",2020,3.97746
"REGION1","SECO00X00","SECO",2021,3.97746
"REGION1","SECO00X00","SECO",2022,3.97746
"REGION1","SECO00X00","SECO",2023,3.97746
"REGION1","SECO00X00","SECO",2024,3.97746
"REGION1","SECO00X00","SECO",2025,3.97746
"REGION1","SECO00X00","SECO",2026,3.18197
"REGION1","SECO00X00","SECO",2027,2.38648
"REGION1","SECO00X00","SECO",2028,1.59098
"REGION1","SECO00X00","SECO",2029,0.795491999999999
"REGION1","SEEL00TD0","SEE2",2015,464.939235085363
"REGION1","SEEL00TD0","SEE2",2016,470.149878837243
"REGION1","SEEL00TD0","SEE2",2017,475.378023588633
"REGION1","SEEL00TD0","SEE2",2018,480.623133340023
"REGION1","SEEL00TD0","SEE2",2019,486.075579091903
"REGION1","SEEL00TD0","SEE2",2020,491.282276492174
"REGION1","SEEL00TD0","SEE2",2021,494.608470153862
"REGION1","SEEL00TD0","SEE2",2022,497.932411548574
"REGION1","SEEL00TD0","SEE2",2023,501.259658266002
"REGION1","SEEL00TD0","SEE2",2024,504.590415334895
"REGION1","SEEL00TD0","SEE2",2025,508.221568681518
"REGION1","SEEL00TD0","SEE2",2026,514.778250763505
"REGION1","SEEL00TD0","SEE2",2027,518.500770093585
"REGION1","SEEL00TD0","SEE2",2028,522.226682423665
"REGION1","SEEL00TD0","SEE2",2029,525.956045753745
"REGION1","SEEL00TD0","SEE2",2030,529.766537298235
"REGION1","SEEL00TD0","SEE2",2031,538.163817118636
"REGION1","SEEL00TD0","SEE2",2032,541.460983748106
"REGION1","SEEL00TD0","SEE2",2033,544.803521044407
"REGION1","SEEL00TD0","SEE2",2034,548.152279673877
"REGION1","SEEL00TD0","SEE2",2035,551.506407570778
"REGION1","SEEL00TD0","SEE2",2036,555.490044750855
"REGION1","SEEL00TD0","SEE2",2037,559.288026314017
"REGION1","SEEL00TD0","SEE2",2038,563.086259643245
"REGION1","SEEL00TD0","SEE2",2039,566.903865193361
"REGION1","SEEL00TD0","SEE2",2040,570.683214051077
"REGION1","SEEL00TD0","SEE2",2041,576.106061369581
"REGION1","SEEL00TD0","SEE2",2042,581.514631007464
"REGION1","SEEL00TD0","SEE2",2043,586.924787379343
"REGION1","SEEL00TD0","SEE2",2044,592.343467915195
"REGION1","SEEL00TD0","SEE2",2045,597.763771032103
"REGION1","SEEL00TD0","SEE2",2046,602.628314223685
"REGION1","SEEL00TD0","SEE2",2047,607.497026290764
"REGION1","SEEL00TD0","SEE2",2048,612.36990723334
"REGION1","SEEL00TD0","SEE2",2049,617.247254828233
"REGION1","SEEL00TD0","SEE2",2050,622.129069075445
"REGION1","SEEL00TD0","SEE2",2051,624.940350991725
"REGION1","SEEL00TD0","SEE2",2052,627.765397332734
"REGION1","SEEL00TD0","SEE2",2053,630.603910321652
"REGION1","SEEL00TD0","SEE2",2054,633.457889957497
"REGION1","SEEL00TD0","SEE2",2055,636.324634018562
"REGION1","SEEL00TD0","SEE2",2056,638.667627316449
"REGION1","SEEL00TD0","SEE2",2057,641.020385041025
"REGION1","SEEL00TD0","SEE2",2058,643.349164934469
"REGION1","SEEL00TD0","SEE2",2059,645.688007031424
"REGION1","SEEL00TD0","SEE2",2060,647.956279730664
"REGION1","SEGO00X00","SEGO",2024,0.0334944
"REGION1","SEGO00X00","SEGO",2025,0.041868
"REGION1","SEGO00X00","SEGO",2026,0.0753624
"REGION1","SEGO00X00","SEGO",2027,0.108857
"REGION1","SEGO00X00","SEGO",2028,0.142351
"REGION1","SEGO00X00","SEGO",2029,0.175846
"REGION1","SEGO00X00","SEGO",2030,0.20934
"REGION1","SEGO00X00","SEGO",2031,0.242834
"REGION1","SEGO00X00","SEGO",2032,0.276328999999999
"REGION1","SEGO00X00","SEGO",2033,0.309823
"REGION1","SEGO00X00","SEGO",2034,0.343318
"REGION1","SEGO00X00","SEGO",2035,0.376812
"REGION1","SEGO00X00","SEGO",2036,0.410306
"REGION1","SEGO00X00","SEGO",2037,0.443801
"REGION1","SEGO00X00","SEGO",2038,0.477295
"REGION1","SEGO00X00","SEGO",2039,0.51079
"REGION1","SEGO00X00","SEGO",2040,0.544284
"REGION1","SEGO00X00","SEGO",2041,0.569405
"REGION1","SEGO00X00","SEGO",2042,0.594526
"REGION1","SEGO00X00","SEGO",2043,0.619646
"REGION1","SEGO00X00","SEGO",2044,0.644767
"REGION1","SEGO00X00","SEGO",2045,0.669888
"REGION1","SEGO00X00","SEGO",2046,0.678262
"REGION1","SEGO00X00","SEGO",2047,0.686635
"REGION1","SEGO00X00","SEGO",2048,0.695009
"REGION1","SEGO00X00","SEGO",2049,0.703382
"REGION1","SEGO00X00","SEGO",2050,0.711756
"REGION1","SEGO00X00","SEGO",2051,0.718874
"REGION1","SEGO00X00","SEGO",2052,0.726062
"REGION1","SEGO00X00","SEGO",2053,0.733323
"REGION1","SEGO00X00","SEGO",2054,0.740656
"REGION1","SEGO00X00","SEGO",2055,0.748063
"REGION1","SEGO00X00","SEGO",2056,0.755543
"REGION1","SEGO00X00","SEGO",2057,0.763099
"REGION1","SEGO00X00","SEGO",2058,0.77073
"REGION1","SEGO00X00","SEGO",2059,0.778437
"REGION1","SEGO00X00","SEGO",2060,0.786221
"REGION1","SEGOCVPH2","SEE1",2024,0.0079242363662603
"REGION1","SEGOCVPH2","SEE1",2025,0.00992200885842866
