REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"REGION1","S01B1","SEBM00X00",1,2015,0.95616
"REGION1","S01B1","SEBM00X00",1,2016,0.826064115955529
"REGION1","S01B1","SEBM00X00",1,2018,0.95616
"REGION1","S01B1","SEBM00X00",1,2019,3.8344648637952
"REGION1","S01B1","SEBM00X00",1,2020,102.370168134518
"REGION1","S01B1","SEBM00X00",1,2021,173.060442771253
"REGION1","S01B1","SEBM00X00",1,2022,233.665100652803
"REGION1","S01B1","SEBM00X00",1,2023,209.928362369349
"REGION1","S01B1","SEBM00X00",1,2024,267.591454057613
"REGION1","S01B1","SEBM00X00",1,2025,268.4189678726
"REGION1","S01B1","SEBM00X00",1,2026,212.560962058558
"REGION1","S01B1","SEBM00X00",1,2027,264.319434688505
"REGION1","S01B1","SEBM00X00",1,2028,268.063670556376
"REGION1","S01B1","SEBM00X00",1,2029,268.525233907369
"REGION1","S01B1","SEBM00X00",1,2030,31.3235145095563
"REGION1","S01B1","SEBM00X00",1,2031,29.3938639513335
"REGION1","S01B1","SEBM00X00",1,2032,30.6003548663445
"REGION1","S01B1","SEBM00X00",1,2033,31.8725798837504
"REGION1","S01B1","SEBM00X00",1,2034,32.5345265076283
"REGION1","S01B1","SEBM00X00",1,2035,135.722314428771
"REGION1","S01B1","SEBM00X00",1,2036,139.833608002186
"REGION1","S01B1","SEBM00X00",1,2037,137.541058969197
"REGION1","S01B1","SEBM00X00",1,2038,139.838256000374
"REGION1","S01B1","SEBM00X00",1,2039,138.406949962627
"REGION1","S01B1","SEBM00X00",1,2040,196.252209085596
"REGION1","S01B1","SEBM00X00",1,2041,374.337354396836
"REGION1","S01B1","SEBM00X00",1,2042,363.728673605218
"REGION1","S01B1","SEBM00X00",1,2043,394.203700167746
"REGION1","S01B1","SEBM00X00",1,2044,394.142292578057
"REGION1","S01B1","SEBM00X00",1,2045,420.685657295742
"REGION1","S01B1","SEBM00X00",1,2046,421.186178361009
"REGION1","S01B1","SEBM00X00",1,2047,421.190826359197
"REGION1","S01B1","SEBM00X00",1,2048,407.853876659195
"REGION1","S01B1","SEBM00X00",1,2049,416.603721005873
"REGION1","S01B1","SEBM00X00",1,2050,421.204770353758
"REGION1","S01B1","SEBM00X00",1,2051,416.965482260851
"REGION1","S01B1","SEBM00X00",1,2052,417.224827897577
"REGION1","S01B1","SEBM00X00",1,2053,417.473527403695
"REGION1","S01B1","SEBM00X00",1,2054,417.070902072944
"REGION1","S01B1","SEBM00X00",1,2055,415.497847164114
"REGION1","S01B1","SEBM00X00",1,2056,418.308636524624
"REGION1","S01B1","SEBM00X00",1,2057,418.04050233036
"REGION1","S01B1","SEBM00X00",1,2058,418.722684637497
"REGION1","S01B1","SEBM00X00",1,2059,419.008433935682
"REGION1","S01B1","SEBM00X00",1,2060,395.025868170296
"REGION1","S01B1","SEBMCCPH1",1,2019,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,2020,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,2021,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,2022,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,2023,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,2024,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,2025,1.40272128
"REGION1","S01B1","SEBMCHPH3",1,2028,0.0701360640000431
"REGION1","S01B1","SEBMCHPH3",1,2029,0.070136064
"REGION1","S01B1","SEBMSTPH3",1,2020,34.5026961685679
"REGION1","S01B1","SEBMSTPH3",1,2021,58.9281745337175
"REGION1","S01B1","SEBMSTPH3",1,2022,80.1616188952875
"REGION1","S01B1","SEBMSTPH3",1,2023,72.0925520508876
"REGION1","S01B1","SEBMSTPH3",1,2024,92.4042643200001
"REGION1","S01B1","SEBMSTPH3",1,2025,92.1809952639344
"REGION1","S01B1","SEBMSTPH3",1,2026,73.0633759297812
"REGION1","S01B1","SEBMSTPH3",1,2027,91.1772326647538
"REGION1","S01B1","SEBMSTPH3",1,2028,92.40426432
"REGION1","S01B1","SEBMSTPH3",1,2029,92.40426432
"REGION1","S01B1","SEBMSTPH3",1,2030,9.20464621064151
"REGION1","S01B1","SEBMSTPH3",1,2031,7.32381185586069
"REGION1","S01B1","SEBMSTPH3",1,2032,7.74445729739444
"REGION1","S01B1","SEBMSTPH3",1,2033,8.18810969777334
"REGION1","S01B1","SEBMSTPH3",1,2034,8.41816444681981
"REGION1","S01B1","SEBMSTPH3",1,2035,44.5322995339893
"REGION1","S01B1","SEBMSTPH3",1,2036,45.9696269226466
"REGION1","S01B1","SEBMSTPH3",1,2037,45.165607157715
"REGION1","S01B1","SEBMSTPH3",1,2038,45.9696269226465
"REGION1","S01B1","SEBMSTPH3",1,2039,45.4686693084775
"REGION1","S01B1","SEBMSTPH3",1,2040,65.7127590072968
"REGION1","S01B1","SEBMSTPH3",1,2041,128.041025933723
"REGION1","S01B1","SEBMSTPH3",1,2042,124.326357142623
"REGION1","S01B1","SEBMSTPH3",1,2043,134.990969766163
"REGION1","S01B1","SEBMSTPH3",1,2044,134.967880825909
"REGION1","S01B1","SEBMSTPH3",1,2045,144.256410427672
"REGION1","S01B1","SEBMSTPH3",1,2046,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2047,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2048,139.760402310775
"REGION1","S01B1","SEBMSTPH3",1,2049,142.821224093569
"REGION1","S01B1","SEBMSTPH3",1,2050,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2051,142.944587057443
"REGION1","S01B1","SEBMSTPH3",1,2052,143.033731320076
"REGION1","S01B1","SEBMSTPH3",1,2053,143.11914943327
"REGION1","S01B1","SEBMSTPH3",1,2054,142.976603625595
"REGION1","S01B1","SEBMSTPH3",1,2055,142.424407055943
"REGION1","S01B1","SEBMSTPH3",1,2056,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2057,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2058,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2059,144.429966174705
"REGION1","S01B1","SEBMSTPH3",1,2060,137.063842687886
"REGION1","S01B1","SECO00I00",1,2016,13.1291368732787
"REGION1","S01B1","SECO00I00",1,2017,13.9427438013703
"REGION1","S01B1","SECO00I00",1,2021,16.2394109734907
"REGION1","S01B1","SECO00I00",1,2022,18.984327799096
"REGION1","S01B1","SECO00I00",1,2023,15.8298047100195
"REGION1","S01B1","SECO00I00",1,2024,14.3123570799955
"REGION1","S01B1","SECO00I00",1,2025,15.5221859428692
"REGION1","S01B1","SECO00I00",1,2026,6.73035306008121
"REGION1","S01B1","SECO00I00",1,2027,11.4382536406967
"REGION1","S01B1","SECO00I00",1,2028,15.904008879956
"REGION1","S01B1","SECO00I00",1,2029,13.5690550834005
"REGION1","S01B1","SECO00I00",1,2030,4.60571772338453
"REGION1","S01B1","SECO00I00",1,2031,4.88697685269972
"REGION1","S01B1","SECO00I00",1,2032,4.91027284361428
"REGION1","S01B1","SECO00I00",1,2033,4.93356883452884
"REGION1","S01B1","SECO00I00",1,2034,4.95686482544341
"REGION1","S01B1","SECO00I00",1,2035,4.98016081635797
"REGION1","S01B1","SECO00I00",1,2036,5.00345680727253
"REGION1","S01B1","SECO00I00",1,2037,5.0267527981871
"REGION1","S01B1","SECO00I00",1,2038,5.0267527981871
"REGION1","S01B1","SECO00I00",1,2039,5.0267527981871
"REGION1","S01B1","SECO00I00",1,2040,5.05211717466898
"REGION1","S01B1","SECO00I00",1,2041,5.07497584875345
"REGION1","S01B1","SECO00I00",1,2042,5.09827183966801
"REGION1","S01B1","SECO00I00",1,2043,5.12200514741267
"REGION1","S01B1","SECO00I00",1,2044,5.14486382149714
"REGION1","S01B1","SECO00I00",1,2045,5.16859712924179
"REGION1","S01B1","SECO00I00",1,2046,5.19189312015636
"REGION1","S01B1","SECO00I00",1,2047,5.21518911107092
"REGION1","S01B1","SECO00I00",1,2048,5.23848510198549
"REGION1","S01B1","SECO00I00",1,2049,5.26178109290005
"REGION1","S01B1","SECO00I00",1,2050,5.28507708381461
"REGION1","S01B1","SECO00I00",1,2051,5.30837307472918
"REGION1","S01B1","SECO00I00",1,2052,5.33166906564374
"REGION1","S01B1","SECO00I00",1,2053,5.35496505655831
"REGION1","S01B1","SECO00I00",1,2054,5.37826104747287
"REGION1","S01B1","SECO00I00",1,2055,5.40155703838743
"REGION1","S01B1","SECO00I00",1,2056,5.1596566108316
"REGION1","S01B1","SECO00I00",1,2057,5.11659915521132
"REGION1","S01B1","SECO00I00",1,2058,5.14481543719606
"REGION1","S01B1","SECO00I00",1,2059,5.1432992435094
"REGION1","S01B1","SECO00I00",1,2060,4.95306932621729
"REGION1","S01B1","SECO00X00",1,2015,4.79232
"REGION1","S01B1","SECO00X00",1,2016,7.82931694656639
"REGION1","S01B1","SECO00X00",1,2017,4.12345771554926
