REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBM00X00","SEBM",2015,0.75752236887402
"REGION1","S01B1","SEBM00X00","SEBM",2016,0.730860753612736
"REGION1","S01B1","SEBM00X00","SEBM",2017,0.825017488039261
"REGION1","S01B1","SEBM00X00","SEBM",2019,2.20764963866754
"REGION1","S01B1","SEBM00X00","SEBM",2020,107.923451233547
"REGION1","S01B1","SEBM00X00","SEBM",2021,173.226934199484
"REGION1","S01B1","SEBM00X00","SEBM",2022,162.870826954524
"REGION1","S01B1","SEBM00X00","SEBM",2023,237.62148778066
"REGION1","S01B1","SEBM00X00","SEBM",2024,267.591454057613
"REGION1","S01B1","SEBM00X00","SEBM",2025,267.611472327998
"REGION1","S01B1","SEBM00X00","SEBM",2026,268.054374560001
"REGION1","S01B1","SEBM00X00","SEBM",2027,268.059022558189
"REGION1","S01B1","SEBM00X00","SEBM",2028,268.063670556375
"REGION1","S01B1","SEBM00X00","SEBM",2029,265.301840252026
"REGION1","S01B1","SEBM00X00","SEBM",2030,25.8717637011032
"REGION1","S01B1","SEBM00X00","SEBM",2031,25.6783330336973
"REGION1","S01B1","SEBM00X00","SEBM",2032,26.8848239487087
"REGION1","S01B1","SEBM00X00","SEBM",2033,27.1604360581872
"REGION1","S01B1","SEBM00X00","SEBM",2034,27.1650840563744
"REGION1","S01B1","SEBM00X00","SEBM",2035,134.459517552746
"REGION1","S01B1","SEBM00X00","SEBM",2036,134.464165550933
"REGION1","S01B1","SEBM00X00","SEBM",2037,134.46881354912
"REGION1","S01B1","SEBM00X00","SEBM",2038,134.473461547308
"REGION1","S01B1","SEBM00X00","SEBM",2039,134.478109545495
"REGION1","S01B1","SEBM00X00","SEBM",2040,187.569185092251
"REGION1","S01B1","SEBM00X00","SEBM",2041,361.400584104277
"REGION1","S01B1","SEBM00X00","SEBM",2042,356.40369970768
"REGION1","S01B1","SEBM00X00","SEBM",2043,385.830824475275
"REGION1","S01B1","SEBM00X00","SEBM",2044,387.700281315852
"REGION1","S01B1","SEBM00X00","SEBM",2045,407.924575341999
"REGION1","S01B1","SEBM00X00","SEBM",2046,408.013742558057
"REGION1","S01B1","SEBM00X00","SEBM",2047,413.43954079651
"REGION1","S01B1","SEBM00X00","SEBM",2048,413.444188794697
"REGION1","S01B1","SEBM00X00","SEBM",2049,413.448836792884
"REGION1","S01B1","SEBM00X00","SEBM",2050,412.461775959127
"REGION1","S01B1","SEBM00X00","SEBM",2051,408.634723313992
"REGION1","S01B1","SEBM00X00","SEBM",2052,408.889519557224
"REGION1","S01B1","SEBM00X00","SEBM",2053,409.13366966985
"REGION1","S01B1","SEBM00X00","SEBM",2054,413.472076783821
"REGION1","S01B1","SEBM00X00","SEBM",2055,413.476724782008
"REGION1","S01B1","SEBM00X00","SEBM",2056,410.080973855522
"REGION1","S01B1","SEBM00X00","SEBM",2057,409.811864579196
"REGION1","S01B1","SEBM00X00","SEBM",2058,410.224200515835
"REGION1","S01B1","SEBM00X00","SEBM",2059,410.50994981402
"REGION1","S01B1","SEBM00X00","SEBM",2060,396.906307265196
"REGION1","S01B1","SEBMCCPH1","SEE1",2019,0.807600861382849
"REGION1","S01B1","SEBMCCPH1","SEE1",2021,1.40272128
"REGION1","S01B1","SEBMCCPH1","SEE1",2023,1.40272128
"REGION1","S01B1","SEBMCCPH1","SEE1",2024,1.40272128
"REGION1","S01B1","SEBMCCPH1","SEE1",2025,1.40272128
