REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBM00X00",1,"SEBM",2016,0.811161051382794
"REGION1","S01B1","SEBM00X00",1,"SEBM",2017,0.817431939861023
"REGION1","S01B1","SEBM00X00",1,"SEBM",2018,0.813055812739823
"REGION1","S01B1","SEBM00X00",1,"SEBM",2020,112.817470559525
"REGION1","S01B1","SEBM00X00",1,"SEBM",2021,102.797140245698
"REGION1","S01B1","SEBM00X00",1,"SEBM",2022,267.697261323763
"REGION1","S01B1","SEBM00X00",1,"SEBM",2023,246.406605316687
"REGION1","S01B1","SEBM00X00",1,"SEBM",2024,202.195096242682
"REGION1","S01B1","SEBM00X00",1,"SEBM",2025,268.76610162951
"REGION1","S01B1","SEBM00X00",1,"SEBM",2026,268.054374560001
"REGION1","S01B1","SEBM00X00",1,"SEBM",2027,265.292544255651
"REGION1","S01B1","SEBM00X00",1,"SEBM",2028,268.063670556375
"REGION1","S01B1","SEBM00X00",1,"SEBM",2029,265.301840252025
"REGION1","S01B1","SEBM00X00",1,"SEBM",2030,25.3065184498681
"REGION1","S01B1","SEBM00X00",1,"SEBM",2031,25.8837863992453
"REGION1","S01B1","SEBM00X00",1,"SEBM",2032,27.1160529378406
"REGION1","S01B1","SEBM00X00",1,"SEBM",2033,8.47335614366697
"REGION1","S01B1","SEBM00X00",1,"SEBM",2034,27.0444224513935
"REGION1","S01B1","SEBM00X00",1,"SEBM",2035,135.6128156689
"REGION1","S01B1","SEBM00X00",1,"SEBM",2036,111.516593951842
"REGION1","S01B1","SEBM00X00",1,"SEBM",2037,135.6128156689
"REGION1","S01B1","SEBM00X00",1,"SEBM",2038,135.612815668899
"REGION1","S01B1","SEBM00X00",1,"SEBM",2039,135.6128156689
"REGION1","S01B1","SEBM00X00",1,"SEBM",2040,191.820138628393
"REGION1","S01B1","SEBM00X00",1,"SEBM",2041,363.918299625838
"REGION1","S01B1","SEBM00X00",1,"SEBM",2042,366.462262741708
"REGION1","S01B1","SEBM00X00",1,"SEBM",2043,388.612105307469
"REGION1","S01B1","SEBM00X00",1,"SEBM",2044,390.101839467165
"REGION1","S01B1","SEBM00X00",1,"SEBM",2045,415.264161748639
"REGION1","S01B1","SEBM00X00",1,"SEBM",2046,406.529696384692
"REGION1","S01B1","SEBM00X00",1,"SEBM",2047,415.273457745014
"REGION1","S01B1","SEBM00X00",1,"SEBM",2048,410.388212071818
"REGION1","S01B1","SEBM00X00",1,"SEBM",2049,414.453285784122
"REGION1","S01B1","SEBM00X00",1,"SEBM",2050,410.298502241216
"REGION1","S01B1","SEBM00X00",1,"SEBM",2051,410.844941964558
"REGION1","S01B1","SEBM00X00",1,"SEBM",2052,411.104287601286
"REGION1","S01B1","SEBM00X00",1,"SEBM",2053,415.301345734138
"REGION1","S01B1","SEBM00X00",1,"SEBM",2054,415.305993732325
"REGION1","S01B1","SEBM00X00",1,"SEBM",2055,415.310641730512
"REGION1","S01B1","SEBM00X00",1,"SEBM",2056,412.308713209892
"REGION1","S01B1","SEBM00X00",1,"SEBM",2057,412.040579015629
"REGION1","S01B1","SEBM00X00",1,"SEBM",2058,412.42618265598
"REGION1","S01B1","SEBM00X00",1,"SEBM",2059,412.681961140714
"REGION1","S01B1","SEBM00X00",1,"SEBM",2060,396.18649395353
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2020,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2021,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2022,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2023,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2025,1.40272128
"REGION1","S01B1","SEBMCHPH3",1,"SEE1",2026,0.070136064
"REGION1","S01B1","SEBMCHPH3",1,"SEE1",2028,0.0701360639998813
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2020,38.1592556738797
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2021,34.3359940575929
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2022,92.0974280593603
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2023,84.9710411011144
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2024,70.5257159190336
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2025,92.40426432
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2026,92.4042643200001
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2027,91.5178213538434
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2028,92.40426432
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2029,91.5178213538434
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2030,7.51774792364941
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2031,6.09528348410145
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2032,6.52495040291118
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2034,6.49987970758399
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2035,44.4988553326867
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2036,36.0651692980305
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2037,44.4988553326867
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2038,44.4988553326867
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2039,44.4988553326867
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2040,64.1714380410923
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2041,124.405077637493
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2042,125.293838817443
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2043,133.044529815176
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2044,133.564393518826
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2045,142.36950529583
