REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBMCCPH1","SEBM",2019,2.20764963866754
"REGION1","S01B1","SEBMCCPH1","SEBM",2021,3.7382381839872
"REGION1","S01B1","SEBMCCPH1","SEBM",2023,3.6324449450496
"REGION1","S01B1","SEBMCCPH1","SEBM",2024,3.579534298368
"REGION1","S01B1","SEBMCCPH1","SEBM",2025,3.5266376788992
"REGION1","S01B1","SEBMCHPH3","SEBM",2026,0.233786646213048
"REGION1","S01B1","SEBMCHPH3","SEBM",2027,0.233786646213209
"REGION1","S01B1","SEBMCHPH3","SEBM",2028,0.233786646212528
"REGION1","S01B1","SEBMSTPH3","SEBM",2020,107.923451233547
"REGION1","S01B1","SEBMSTPH3","SEBM",2021,168.586337109764
"REGION1","S01B1","SEBMSTPH3","SEBM",2022,161.914666954524
"REGION1","S01B1","SEBMSTPH3","SEBM",2023,233.615670413942
"REGION1","S01B1","SEBMSTPH3","SEBM",2024,263.055759759245
"REGION1","S01B1","SEBMSTPH3","SEBM",2025,262.462732645985
"REGION1","S01B1","SEBMSTPH3","SEBM",2026,264.011919759245
"REGION1","S01B1","SEBMSTPH3","SEBM",2027,264.011919759245
"REGION1","S01B1","SEBMSTPH3","SEBM",2028,264.011919759245
"REGION1","S01B1","SEBMSTPH3","SEBM",2029,261.479228102921
"REGION1","S01B1","SEBMSTPH3","SEBM",2030,22.0445035538108
"REGION1","S01B1","SEBMSTPH3","SEBM",2031,17.2096248882176
"REGION1","S01B1","SEBMSTPH3","SEBM",2032,18.4114678050417
"REGION1","S01B1","SEBMSTPH3","SEBM",2033,18.6824319163329
"REGION1","S01B1","SEBMSTPH3","SEBM",2034,18.6824319163329
"REGION1","S01B1","SEBMSTPH3","SEBM",2035,125.972217414517
"REGION1","S01B1","SEBMSTPH3","SEBM",2036,125.972217414517
"REGION1","S01B1","SEBMSTPH3","SEBM",2037,125.972217414517
"REGION1","S01B1","SEBMSTPH3","SEBM",2038,125.972217414517
"REGION1","S01B1","SEBMSTPH3","SEBM",2039,125.972217414517
"REGION1","S01B1","SEBMSTPH3","SEBM",2040,179.058644963085
"REGION1","S01B1","SEBMSTPH3","SEBM",2041,352.885395976925
"REGION1","S01B1","SEBMSTPH3","SEBM",2042,347.88386358214
"REGION1","S01B1","SEBMSTPH3","SEBM",2043,377.306340351548
"REGION1","S01B1","SEBMSTPH3","SEBM",2044,379.171149193937
"REGION1","S01B1","SEBMSTPH3","SEBM",2045,399.390795221897
"REGION1","S01B1","SEBMSTPH3","SEBM",2046,399.475314439768
"REGION1","S01B1","SEBMSTPH3","SEBM",2047,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2048,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2049,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2050,403.904755848089
"REGION1","S01B1","SEBMSTPH3","SEBM",2051,400.073055204767
"REGION1","S01B1","SEBMSTPH3","SEBM",2052,400.323203449812
"REGION1","S01B1","SEBMSTPH3","SEBM",2053,400.56270556425
"REGION1","S01B1","SEBMSTPH3","SEBM",2054,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2055,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2056,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2057,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2058,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2059,404.896464680033
"REGION1","S01B1","SEBMSTPH3","SEBM",2060,389.219861072155
"REGION1","S01B1","SEEL00TD0","SEE1",2015,511.076065900362
"REGION1","S01B1","SEEL00TD0","SEE1",2016,516.710079980565
"REGION1","S01B1","SEEL00TD0","SEE1",2017,521.213981083464
"REGION1","S01B1","SEEL00TD0","SEE1",2018,527.261008468352
"REGION1","S01B1","SEEL00TD0","SEE1",2019,532.251968186555
"REGION1","S01B1","SEEL00TD0","SEE1",2020,539.07041657783
"REGION1","S01B1","SEEL00TD0","SEE1",2021,544.139124415936
"REGION1","S01B1","SEEL00TD0","SEE1",2022,547.874840255115
"REGION1","S01B1","SEEL00TD0","SEE1",2023,550.645374481865
"REGION1","S01B1","SEEL00TD0","SEE1",2024,555.046057384894
"REGION1","S01B1","SEEL00TD0","SEE1",2025,558.605850436772
"REGION1","S01B1","SEEL00TD0","SEE1",2026,566.404606354709
"REGION1","S01B1","SEEL00TD0","SEE1",2027,570.496353393437
"REGION1","S01B1","SEEL00TD0","SEE1",2028,574.591824704902
"REGION1","S01B1","SEEL00TD0","SEE1",2029,578.691083951885
"REGION1","S01B1","SEEL00TD0","SEE1",2030,582.794003808822
"REGION1","S01B1","SEEL00TD0","SEE1",2031,592.406102024282
"REGION1","S01B1","SEEL00TD0","SEE1",2032,595.845112219058
"REGION1","S01B1","SEEL00TD0","SEE1",2033,599.287161295964
"REGION1","S01B1","SEEL00TD0","SEE1",2034,602.734447652377
