REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2019,2.8783048637952
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2020,3.791134803456
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2021,3.7382381839872
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2022,3.6853415645184
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2023,3.6324449450496
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2024,3.579534298368
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2025,3.5266376788992
"REGION1","S01B1","SEBMCCPH1",1,"SEBM",2060,3.26625144641694
"REGION1","S01B1","SEBMCHPH3",1,"SEBM",2026,0.233786646213209
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2020,83.4338657583932
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2021,162.953073966471
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2022,198.409225093313
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2023,201.758000869408
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2024,263.331454079398
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2025,264.011919759245
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2026,264.011919759245
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2027,225.037501661024
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2028,232.606928533166
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2029,261.342379912298
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2030,23.6978624175981
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2031,14.6578952201747
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2032,16.2437128998884
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2033,18.7526979909671
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2034,20.0551417103371
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2035,130.171067283736
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2036,129.477274642893
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2037,130.171067283735
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2038,130.170961600064
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2039,130.171067283736
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2040,188.294277912884
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2041,359.880186708961
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2042,317.955139293463
"REGION1","S01B1","SEBMSTPH3",1,"SEBM",2043,387.885071039084
