REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBMCCPH1",2060,2837.49555287596
"REGION1","SEBMSTPH3",2035,406.063286443105
"REGION1","SEBMSTPH3",2040,550.047567369822
"REGION1","SEBMSTPH3",2041,1906.06187895647
"REGION1","SEBMSTPH3",2043,300.628553951517
"REGION1","SEBMSTPH3",2045,357.186989760045
"REGION1","SEGOCVPH2",2022,0.0241952120060791
"REGION1","SEGOCVPH2",2023,0.0236263468577682
"REGION1","SEGOCVPH2",2024,0.0345543489982159
"REGION1","SEGOCVPH2",2025,0.0449299253762676
"REGION1","SEGOCVPH2",2026,0.217743331617413
"REGION1","SEGOCVPH2",2027,0.254905810366879
"REGION1","SEGOCVPH2",2028,0.290169865683184
"REGION1","SEGOCVPH2",2029,0.323638987192181
"REGION1","SEGOCVPH2",2030,0.355373615723234
"REGION1","SEGOCVPH2",2031,0.38715795588517
"REGION1","SEGOCVPH2",2032,0.416920036301077
"REGION1","SEGOCVPH2",2033,0.445303663504646
"REGION1","SEGOCVPH2",2034,0.472454034230344
"REGION1","SEGOCVPH2",2035,0.498339557332254
"REGION1","SEGOCVPH2",2036,0.523088938722294
"REGION1","SEGOCVPH2",2037,0.546765172038477
"REGION1","SEGOCVPH2",2038,0.569322090352587
"REGION1","SEGOCVPH2",2039,0.590941651393342
"REGION1","SEGOCVPH2",2040,0.611529021090849
"REGION1","SEGOCVPH2",2041,0.477762035553386
"REGION1","SEGOCVPH2",2042,0.491938417197525
"REGION1","SEGOCVPH2",2043,0.505461823692072
"REGION1","SEGOCVPH2",2044,0.518417681570675
"REGION1","SEGOCVPH2",2045,0.53077998046427
"REGION1","SEGOCVPH2",2046,0.199433922298275
"REGION1","SEGOCVPH2",2047,0.203562584073803
"REGION1","SEGOCVPH2",2048,0.207549465997462
"REGION1","SEGOCVPH2",2049,0.211318290047723
"REGION1","SEGOCVPH2",2050,0.214964132740838
"REGION1","SEGOCVPH2",2051,0.174299631883384
"REGION1","SEGOCVPH2",2052,0.178734352859209
"REGION1","SEGOCVPH2",2053,0.183176910086881
"REGION1","SEGOCVPH2",2054,0.187539397840185
"REGION1","SEGOCVPH2",2055,0.191849473292752
"REGION1","SEGOCVPH2",2056,0.196080903808637
"REGION1","SEGOCVPH2",2057,0.200377283820475
"REGION1","SEGOCVPH2",2058,0.204601895500137
"REGION1","SEGOCVPH2",2059,0.208804949657532
"REGION1","SEGOCVPH2",2060,0.21293975631391
"REGION1","SEHFCHPH3",2037,5.84679664103888
"REGION1","SEHFCHPH3",2038,14.8849673614551
"REGION1","SEHFCHPH3",2039,37.8537266594189
"REGION1","SEHFCHPH3",2040,52.8838077524181
"REGION1","SEHFCHPH3",2041,63.128962593768
"REGION1","SEHFCHPH3",2042,77.6745479573871
"REGION1","SEHFCHPH3",2043,145.817142597668
"REGION1","SEHFCHPH3",2044,130.152657801823
"REGION1","SEHFCHPH3",2045,183.302828382089
"REGION1","SEHFCHPH3",2046,430.928017063612
"REGION1","SEHFCHPH3",2047,1051.89160014951
"REGION1","SEHFCHPH3",2048,100.898061658904
"REGION1","SEHFCHPH3",2049,100.681861841013
"REGION1","SEHFCHPH3",2050,61.632696874409
"REGION1","SEHFCHPH3",2051,29.4808076034913
"REGION1","SEHFCHPH3",2052,45.8548667719787
"REGION1","SEHFCHPH3",2053,202.269569372846
"REGION1","SEHFCHPH3",2054,110.001310559425
"REGION1","SEHFCHPH3",2055,485.965566938602
"REGION1","SEHFCHPH3",2056,128.733838717205
"REGION1","SEHFCHPH3",2057,86.0549066408052
"REGION1","SEHFCHPH3",2058,126.559777319119
"REGION1","SEHFCHPH3",2059,389.095941849817
"REGION1","SEHFCHPH3",2060,208.844863976804
"REGION1","SEHYDMPH3",2026,272.647300142483
"REGION1","SEHYDMPH3",2027,631.644859810584
"REGION1","SEHYDMPH3",2028,545.940333712462
"REGION1","SEHYDMPH3",2029,1155.42450649152
"REGION1","SEHYDMPH3",2030,3678.30030955162
"REGION1","SEHYDMPH3",2031,364.219635856413
"REGION1","SEHYDMPH3",2032,626.585371458236
"REGION1","SEHYDMPH3",2033,1062.59968580711
"REGION1","SEHYDMPH3",2035,2061.25701959788
"REGION1","SEHYDMPH3",2036,655.680168736029
"REGION1","SEHYDMPH3",2037,1036.46268349287
"REGION1","SEHYDMPH3",2038,1244.65496457689
"REGION1","SEHYDMPH3",2039,518.846219196287
"REGION1","SEHYDMPH3",2040,978.356912463228
"REGION1","SEHYDMPH3",2041,1653.88543195936
"REGION1","SEHYDMPH3",2043,1764.504514028
"REGION1","SEHYDMPH3",2045,2728.10337785858
"REGION1","SEHYDMPH3",2046,571.015969248407
"REGION1","SEHYDMPH3",2047,1554.80255453131
"REGION1","SEHYDMPH3",2048,1044.68905023174
"REGION1","SEHYDMPH3",2049,556.883824689991
"REGION1","SEHYDMPH3",2050,932.845235491306
"REGION1","SEHYDMPH3",2051,982.57781640737
"REGION1","SEHYDMPH3",2052,678.518863082916
"REGION1","SEHYDMPH3",2053,1150.13359697871
"REGION1","SEHYDMPH3",2054,750.965886990713
"REGION1","SEHYDMPH3",2055,2013.09387198303
"REGION1","SEHYDMPH3",2056,1504.97851828841
"REGION1","SEHYDMPH3",2057,235.257493078342
"REGION1","SEHYDMPH3",2058,1406.87663604385
"REGION1","SEHYDMPH3",2059,34.5714961773079
"REGION1","SEHYDMPH3",2060,2215.2907878879
"REGION1","SEWIONPN3",2037,94.0253554721146
"REGION1","SEWIONPN3",2038,222.86460109725
"REGION1","SEWIONPN3",2039,465.496776061094
"REGION1","SEWIONPN3",2040,604.142372472411
"REGION1","SEWIONPN3",2041,735.823472922359
"REGION1","SEWIONPN3",2042,533.790075061201
"REGION1","SEWIONPN3",2043,978.588223507645
"REGION1","SEWIONPN3",2044,949.269593402259
"REGION1","SEWIONPN3",2045,1196.10978331831
"REGION1","SEWIONPN3",2046,324.911360656597
"REGION1","SEWIONPN3",2047,349.153217412329
"REGION1","SEWIONPN3",2048,372.172516204415
"REGION1","SEWIONPN3",2049,533.202042737385
"REGION1","SEWIONPN3",2050,415.058812022096
"REGION1","SEWIONPN3",2051,260.289845715284
"REGION1","SEWIONPN3",2052,268.88016047275
"REGION1","SEWIONPN3",2053,278.53661668719
"REGION1","SEWIONPN3",2054,566.392442565535
"REGION1","SEWIONPN3",2055,1922.66600815553
"REGION1","SEWIONPN3",2056,1321.71725664654
"REGION1","SEWIONPN3",2057,795.380765237151
"REGION1","SEWIONPN3",2058,998.153449474371
"REGION1","SEWIONPN3",2059,2069.34716444584
"REGION1","SEWIONPN3",2060,2097.33522692445
