REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"REGION1","SEBF00X00",1,2024,0.00175458220283143
"REGION1","SEBFHPFH1",1,2024,0.00114047957232
"REGION1","SEBM00X00",1,2015,0.708156
"REGION1","SEBM00X00",1,2016,0.7123392
"REGION1","SEBM00X00",1,2017,0.716522400000001
"REGION1","SEBM00X00",1,2018,0.7207056
"REGION1","SEBM00X00",1,2019,1.61396775438716
"REGION1","SEBM00X00",1,2020,84.2032258304898
"REGION1","SEBM00X00",1,2021,97.7704877423831
"REGION1","SEBM00X00",1,2022,148.162960836578
"REGION1","SEBM00X00",1,2023,159.165644710872
"REGION1","SEBM00X00",1,2024,176.939738844913
"REGION1","SEBM00X00",1,2025,191.813657292465
"REGION1","SEBM00X00",1,2026,189.349193154464
"REGION1","SEBM00X00",1,2027,189.353376354464
"REGION1","SEBM00X00",1,2028,189.199753506725
"REGION1","SEBM00X00",1,2029,189.361742754464
"REGION1","SEBM00X00",1,2030,24.4217770994175
"REGION1","SEBM00X00",1,2031,22.35353680253
"REGION1","SEBM00X00",1,2032,22.35353680253
"REGION1","SEBM00X00",1,2033,22.3535368025299
"REGION1","SEBM00X00",1,2034,22.35353680253
"REGION1","SEBM00X00",1,2035,97.5771737153487
"REGION1","SEBM00X00",1,2036,97.5771737153487
"REGION1","SEBM00X00",1,2037,97.5771737153487
"REGION1","SEBM00X00",1,2038,97.5771737153487
"REGION1","SEBM00X00",1,2039,97.5771737153487
"REGION1","SEBM00X00",1,2040,135.97119553077
"REGION1","SEBM00X00",1,2041,260.340906046198
"REGION1","SEBM00X00",1,2042,258.236825409689
"REGION1","SEBM00X00",1,2043,274.861416868537
"REGION1","SEBM00X00",1,2044,274.861416868537
"REGION1","SEBM00X00",1,2045,292.551161693525
"REGION1","SEBM00X00",1,2046,292.551161693525
"REGION1","SEBM00X00",1,2047,292.551161693525
"REGION1","SEBM00X00",1,2048,292.551161693525
"REGION1","SEBM00X00",1,2049,292.551161693525
"REGION1","SEBM00X00",1,2050,292.551161693525
"REGION1","SEBM00X00",1,2051,292.551161693525
"REGION1","SEBM00X00",1,2052,292.551161693525
"REGION1","SEBM00X00",1,2053,292.551161693525
"REGION1","SEBM00X00",1,2054,292.551161693525
"REGION1","SEBM00X00",1,2055,292.551161693524
"REGION1","SEBM00X00",1,2056,292.551161693525
"REGION1","SEBM00X00",1,2057,292.551161693525
"REGION1","SEBM00X00",1,2058,292.551161693525
"REGION1","SEBM00X00",1,2059,292.551161693525
"REGION1","SEBM00X00",1,2060,278.920233527507
"REGION1","SEBMCCPH1",1,2019,0.325242247150142
"REGION1","SEBMCCPH1",1,2020,0.98190527894291
"REGION1","SEBMCCPH1",1,2021,0.981905278942909
"REGION1","SEBMCCPH1",1,2022,0.981905278942909
"REGION1","SEBMCCPH1",1,2023,0.981905278942909
"REGION1","SEBMCCPH1",1,2024,0.981905278942909
"REGION1","SEBMCCPH1",1,2025,0.981905278942909
"REGION1","SEBMCHPH3",1,2025,0.0473418616633189
"REGION1","SEBMCHPH3",1,2026,0.0473418616633189
"REGION1","SEBMCHPH3",1,2027,0.0473418616633189
"REGION1","SEBMCHPH3",1,2029,0.0473418616633189
"REGION1","SEBMCHPH3",1,2030,0.0236709308316594
"REGION1","SEBMSTPH3",1,2020,28.2871537387355
"REGION1","SEBMSTPH3",1,2021,33.0471957247643
"REGION1","SEBMSTPH3",1,2022,50.6960745134354
"REGION1","SEBMSTPH3",1,2023,54.5585132887011
"REGION1","SEBMSTPH3",1,2024,60.7909514615463
"REGION1","SEBMSTPH3",1,2025,64.6830102503641
"REGION1","SEBMSTPH3",1,2026,64.6830102503641
"REGION1","SEBMSTPH3",1,2027,64.6830102503641
"REGION1","SEBMSTPH3",1,2028,64.6830102503641
"REGION1","SEBMSTPH3",1,2029,64.6830102503642
"REGION1","SEBMSTPH3",1,2030,6.98011650655845
"REGION1","SEBMSTPH3",1,2031,5.50725858814409
"REGION1","SEBMSTPH3",1,2032,5.50725858814409
"REGION1","SEBMSTPH3",1,2033,5.50725858814407
"REGION1","SEBMSTPH3",1,2034,5.50725858814409
"REGION1","SEBMSTPH3",1,2035,31.8355578359299
"REGION1","SEBMSTPH3",1,2036,31.8355578359299
"REGION1","SEBMSTPH3",1,2037,31.8355578359299
"REGION1","SEBMSTPH3",1,2038,31.8355578359299
"REGION1","SEBMSTPH3",1,2039,31.8355578359299
"REGION1","SEBMSTPH3",1,2040,45.2734789092485
"REGION1","SEBMSTPH3",1,2041,88.8029211190904
"REGION1","SEBMSTPH3",1,2042,88.0664921598832
"REGION1","SEBMSTPH3",1,2043,93.8851049890928
"REGION1","SEBMSTPH3",1,2044,93.8851049890928
"REGION1","SEBMSTPH3",1,2045,100.076521869256
"REGION1","SEBMSTPH3",1,2046,100.076521869256
"REGION1","SEBMSTPH3",1,2047,100.076521869256
"REGION1","SEBMSTPH3",1,2048,100.076521869256
"REGION1","SEBMSTPH3",1,2049,100.076521869256
"REGION1","SEBMSTPH3",1,2050,100.076521869256
"REGION1","SEBMSTPH3",1,2051,100.076521869256
"REGION1","SEBMSTPH3",1,2052,100.076521869256
"REGION1","SEBMSTPH3",1,2053,100.076521869256
"REGION1","SEBMSTPH3",1,2054,100.076521869256
"REGION1","SEBMSTPH3",1,2055,100.076521869256
"REGION1","SEBMSTPH3",1,2056,100.076521869256
"REGION1","SEBMSTPH3",1,2057,100.076521869256
"REGION1","SEBMSTPH3",1,2058,100.076521869256
"REGION1","SEBMSTPH3",1,2059,100.076521869256
"REGION1","SEBMSTPH3",1,2060,95.3056922403187
"REGION1","SECO00I00",1,2015,11.0787948
"REGION1","SECO00I00",1,2016,12.0627212
"REGION1","SECO00I00",1,2017,13.0466576
"REGION1","SECO00I00",1,2018,14.030584
"REGION1","SECO00I00",1,2019,15.0145204
"REGION1","SECO00I00",1,2020,15.9984468
"REGION1","SECO00I00",1,2021,16.0194132
"REGION1","SECO00I00",1,2022,16.0403796
"REGION1","SECO00I00",1,2023,16.061346
"REGION1","SECO00I00",1,2024,16.0823124
"REGION1","SECO00I00",1,2025,7.4265588
"REGION1","SECO00I00",1,2026,8.24301520000001
"REGION1","SECO00I00",1,2027,9.05947159999999
"REGION1","SECO00I00",1,2028,9.875938
"REGION1","SECO00I00",1,2029,10.6923924
"REGION1","SECO00I00",1,2030,11.5088508
"REGION1","SECO00I00",1,2031,0.4963896
"REGION1","SECO00I00",1,2032,0.4963896
"REGION1","SECO00I00",1,2033,0.4963896
"REGION1","SECO00I00",1,2034,0.4963896
"REGION1","SECO00I00",1,2035,0.4963896
"REGION1","SECO00I00",1,2036,0.4963896
"REGION1","SECO00I00",1,2037,0.4963896
"REGION1","SECO00I00",1,2038,0.4963896
"REGION1","SECO00I00",1,2039,0.496389599999999
"REGION1","SECO00I00",1,2040,0.496389600000001
"REGION1","SECO00I00",1,2041,0.496389599999999
"REGION1","SECO00I00",1,2042,0.4963896
"REGION1","SECO00I00",1,2043,0.4963896
"REGION1","SECO00I00",1,2044,0.4963896
"REGION1","SECO00I00",1,2045,0.4963896
"REGION1","SECO00I00",1,2046,0.4963896
"REGION1","SECO00I00",1,2047,0.4963896
"REGION1","SECO00I00",1,2048,0.4963896
"REGION1","SECO00I00",1,2049,0.4963896
"REGION1","SECO00I00",1,2050,0.4963896
"REGION1","SECO00I00",1,2051,0.4963896
"REGION1","SECO00I00",1,2052,0.4963896
"REGION1","SECO00I00",1,2053,0.4963896
"REGION1","SECO00I00",1,2054,0.496389600000001
"REGION1","SECO00I00",1,2055,0.4963896
"REGION1","SECO00I00",1,2056,0.4963896
"REGION1","SECO00I00",1,2057,0.4963896
"REGION1","SECO00I00",1,2058,0.4963896
"REGION1","SECO00I00",1,2059,0.496389600000001
"REGION1","SECO00I00",1,2060,0.496389600000003
"REGION1","SECO00X00",1,2015,8.79227999999998
"REGION1","SECO00X00",1,2016,7.82932
"REGION1","SECO00X00",1,2017,6.86634999999999
"REGION1","SECO00X00",1,2018,5.90339
"REGION1","SECO00X00",1,2019,4.94042
"REGION1","SECO00X00",1,2020,3.97746
"REGION1","SECO00X00",1,2021,3.97746
"REGION1","SECO00X00",1,2022,3.97746
"REGION1","SECO00X00",1,2023,3.97746
"REGION1","SECO00X00",1,2024,3.97746
"REGION1","SECO00X00",1,2025,3.97746
"REGION1","SECO00X00",1,2026,3.18197
"REGION1","SECO00X00",1,2027,2.38648
"REGION1","SECO00X00",1,2028,1.59098
"REGION1","SECO00X00",1,2029,0.795492
"REGION1","SEEL00TD0",1,2015,489.409721142488
"REGION1","SEEL00TD0",1,2016,494.894609302361
"REGION1","SEEL00TD0",1,2017,500.397919566982
"REGION1","SEEL00TD0",1,2018,505.91908772634
"REGION1","SEEL00TD0",1,2019,511.658504307267
"REGION1","SEEL00TD0",1,2020,517.014341940309
"REGION1","SEEL00TD0",1,2021,520.365862555456
"REGION1","SEEL00TD0",1,2022,523.720710539024
"REGION1","SEEL00TD0",1,2023,527.078946943646
"REGION1","SEEL00TD0",1,2024,530.439401790822
"REGION1","SEEL00TD0",1,2025,538.639559752888
"REGION1","SEEL00TD0",1,2026,542.554516548233
"REGION1","SEEL00TD0",1,2027,546.472957948317
"REGION1","SEEL00TD0",1,2028,550.394970927349
"REGION1","SEEL00TD0",1,2029,554.32061653796
"REGION1","SEEL00TD0",1,2030,558.249772674886
"REGION1","SEEL00TD0",1,2031,573.353507653275
"REGION1","SEEL00TD0",1,2032,576.689158842191
"REGION1","SEEL00TD0",1,2033,580.028250733034
"REGION1","SEEL00TD0",1,2034,583.371838764055
"REGION1","SEEL00TD0",1,2035,586.719183918688
"REGION1","SEEL00TD0",1,2036,590.536881099492
"REGION1","SEEL00TD0",1,2037,594.359439878127
"REGION1","SEEL00TD0",1,2038,598.185964522242
"REGION1","SEEL00TD0",1,2039,602.015404956347
