REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.0160105686048
"REGION1","SEBFHPFH1",2015,0.008132
"REGION1","SEBFHPFH1",2016,0.008132
"REGION1","SEBFHPFH1",2017,0.008132
"REGION1","SEBFHPFH1",2018,0.008132
"REGION1","SEBFHPFH1",2019,0.008132
"REGION1","SEBFHPFH1",2020,0.008132
"REGION1","SEBFHPFH1",2021,0.008132
"REGION1","SEBFHPFH1",2022,0.008132
"REGION1","SEBFHPFH1",2023,0.000956
"REGION1","SEBFHPFH1",2024,0.00033
"REGION1","SEBFHPFH1",2025,0.00025
"REGION1","SEBFHPFH1",2026,0.00025
"REGION1","SEBM00X00",2015,0.95616
"REGION1","SEBM00X00",2016,0.891186532616801
"REGION1","SEBM00X00",2017,0.922370736646737
"REGION1","SEBM00X00",2018,0.95616
"REGION1","SEBM00X00",2019,1.69126847973684
"REGION1","SEBM00X00",2020,85.9210576970032
"REGION1","SEBM00X00",2021,171.995397139004
"REGION1","SEBM00X00",2022,232.316070867243
"REGION1","SEBM00X00",2023,244.72548652001
"REGION1","SEBM00X00",2024,264.947378899968
"REGION1","SEBM00X00",2025,247.526796952961
"REGION1","SEBM00X00",2026,233.540546141568
"REGION1","SEBM00X00",2027,229.107395210561
"REGION1","SEBM00X00",2028,231.768034695808
"REGION1","SEBM00X00",2029,243.629376453974
"REGION1","SEBM00X00",2030,28.6071251769853
"REGION1","SEBM00X00",2031,30.0728127787856
"REGION1","SEBM00X00",2032,29.786670251705
"REGION1","SEBM00X00",2033,29.4833088681147
"REGION1","SEBM00X00",2034,29.1657871509136
"REGION1","SEBM00X00",2035,137.126859162138
"REGION1","SEBM00X00",2036,137.006303723333
"REGION1","SEBM00X00",2037,137.548372254909
"REGION1","SEBM00X00",2038,137.548372254909
"REGION1","SEBM00X00",2039,137.548372254909
"REGION1","SEBM00X00",2040,192.396953457422
"REGION1","SEBM00X00",2041,366.995824161655
"REGION1","SEBM00X00",2042,367.062070879338
"REGION1","SEBM00X00",2043,390.811477986852
