REGION,YEAR,VALUE
"REGION1",2015,932441.505861432
"REGION1",2016,879131.947613563
"REGION1",2017,841119.853255653
"REGION1",2018,804806.820220312
"REGION1",2019,771030.762688664
"REGION1",2020,736954.901494994
"REGION1",2021,722039.312277643
"REGION1",2022,707366.031376917
"REGION1",2023,690874.190381801
"REGION1",2024,676540.442411657
"REGION1",2025,473791.258308079
"REGION1",2026,462163.609240742
"REGION1",2027,451438.219243579
"REGION1",2028,440912.434659592
"REGION1",2029,430410.198928618
"REGION1",2030,213977.226131318
"REGION1",2031,94697.0104515951
"REGION1",2032,92136.3450891116
"REGION1",2033,90519.4643367363
"REGION1",2034,88848.6718773111
"REGION1",2035,88507.7338428441
"REGION1",2036,85215.299072141
"REGION1",2037,83499.7991810862
"REGION1",2038,81853.1393526231
"REGION1",2039,80137.0756174652
"REGION1",2040,82499.853753902
"REGION1",2041,77864.0156662896
"REGION1",2042,74747.6279726229
"REGION1",2043,73664.1720867104
"REGION1",2044,71534.8074249421
"REGION1",2045,70355.6259953747
"REGION1",2046,68055.5030322422
"REGION1",2047,67124.4318568437
"REGION1",2048,64931.157163469
"REGION1",2049,63277.6836471991
"REGION1",2050,61770.3876205567
"REGION1",2051,60244.4764294245
"REGION1",2052,58751.3618406286
"REGION1",2053,57332.2195065318
"REGION1",2054,55986.2185489936
"REGION1",2055,54661.0804453428
"REGION1",2056,53253.9117973274
"REGION1",2057,51800.7941779924
"REGION1",2058,50508.1933785334
"REGION1",2059,49212.6667122281
"REGION1",2060,47963.406058663
