REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.00175458220283143
"REGION1","SEBF00X00",2025,0.00132922894153896
"REGION1","SEBFHPFH1",2024,0.00114047957232
"REGION1","SEBFHPFH1",2025,0.000863999676
"REGION1","SEBM00X00",2015,0.708156
"REGION1","SEBM00X00",2016,0.712339199999999
"REGION1","SEBM00X00",2017,0.7165224
"REGION1","SEBM00X00",2018,0.7207056
"REGION1","SEBM00X00",2019,1.9017753893694
"REGION1","SEBM00X00",2020,84.9522733639552
"REGION1","SEBM00X00",2021,98.7876677378968
"REGION1","SEBM00X00",2022,149.45248174133
"REGION1","SEBM00X00",2023,160.727784683812
"REGION1","SEBM00X00",2024,185.063359673186
"REGION1","SEBM00X00",2025,185.355537753482
"REGION1","SEBM00X00",2026,188.304903581197
"REGION1","SEBM00X00",2027,188.309086781197
"REGION1","SEBM00X00",2028,188.313269981197
"REGION1","SEBM00X00",2029,188.71496969317
"REGION1","SEBM00X00",2030,25.5204413478875
"REGION1","SEBM00X00",2031,24.2299338234724
"REGION1","SEBM00X00",2032,24.2341170234724
"REGION1","SEBM00X00",2033,24.2383002234723
"REGION1","SEBM00X00",2034,24.2424834234724
"REGION1","SEBM00X00",2035,99.3495457623126
"REGION1","SEBM00X00",2036,99.3537289623124
"REGION1","SEBM00X00",2037,99.3579121623125
"REGION1","SEBM00X00",2038,99.3579121623124
"REGION1","SEBM00X00",2039,99.3579121623124
"REGION1","SEBM00X00",2040,138.848706859549
"REGION1","SEBM00X00",2041,263.509269344031
"REGION1","SEBM00X00",2042,261.409371907522
"REGION1","SEBM00X00",2043,278.321704347137
"REGION1","SEBM00X00",2044,278.325809019301
"REGION1","SEBM00X00",2045,296.303941159312
"REGION1","SEBM00X00",2046,296.308124359312
"REGION1","SEBM00X00",2047,296.312307559312
"REGION1","SEBM00X00",2048,296.316490759312
"REGION1","SEBM00X00",2049,296.320673959312
"REGION1","SEBM00X00",2050,296.324857159312
"REGION1","SEBM00X00",2051,296.329040359312
"REGION1","SEBM00X00",2052,296.333223559312
"REGION1","SEBM00X00",2053,296.337406759312
"REGION1","SEBM00X00",2054,296.341589959312
"REGION1","SEBM00X00",2055,296.345773159312
"REGION1","SEBM00X00",2056,296.341589959312
"REGION1","SEBM00X00",2057,296.337406759311
"REGION1","SEBM00X00",2058,296.333223559312
"REGION1","SEBM00X00",2059,296.329040359312
"REGION1","SEBM00X00",2060,281.602272881059
"REGION1","SEBMCCPH1",2019,0.430527836789496
"REGION1","SEBMCCPH1",2020,0.98190527894291
"REGION1","SEBMCCPH1",2021,0.981905278942909
"REGION1","SEBMCCPH1",2022,0.98190527894291
"REGION1","SEBMCCPH1",2023,0.981905278942909
"REGION1","SEBMCCPH1",2024,0.981905278942909
"REGION1","SEBMCCPH1",2025,0.981905278942909
"REGION1","SEBMCHPH3",2026,0.0473418616633189
"REGION1","SEBMCHPH3",2027,0.0473418616633189
"REGION1","SEBMCHPH3",2028,0.0473418616633189
"REGION1","SEBMCHPH3",2029,0.0473418616633189
"REGION1","SEBMCHPH3",2030,0.0236709308316594
"REGION1","SEBMSTPH3",2020,28.5493206376153
"REGION1","SEBMSTPH3",2021,33.4032090792075
"REGION1","SEBMSTPH3",2022,51.1474072814313
"REGION1","SEBMSTPH3",2023,55.1052628259797
"REGION1","SEBMSTPH3",2024,63.634221594712
"REGION1","SEBMSTPH3",2025,63.5393962826812
"REGION1","SEBMSTPH3",2026,64.6830102503641
"REGION1","SEBMSTPH3",2027,64.6830102503641
"REGION1","SEBMSTPH3",2028,64.6830102503641
"REGION1","SEBMSTPH3",2029,64.6830102503641
"REGION1","SEBMSTPH3",2030,7.36557532934716
"REGION1","SEBMSTPH3",2031,5.89271741093276
"REGION1","SEBMSTPH3",2032,5.89271741093276
"REGION1","SEBMSTPH3",2033,5.89271741093272
"REGION1","SEBMSTPH3",2034,5.89271741093276
"REGION1","SEBMSTPH3",2035,32.1787513955608
"REGION1","SEBMSTPH3",2036,32.1787513955607
"REGION1","SEBMSTPH3",2037,32.1787513955608
"REGION1","SEBMSTPH3",2038,32.1787513955607
"REGION1","SEBMSTPH3",2039,32.1787513955607
"REGION1","SEBMSTPH3",2040,45.9989492446909
"REGION1","SEBMSTPH3",2041,89.6287531088064
"REGION1","SEBMSTPH3",2042,88.8923241495993
"REGION1","SEBMSTPH3",2043,94.8101548165525
"REGION1","SEBMSTPH3",2044,94.8101548165525
"REGION1","SEBMSTPH3",2045,101.101015751674
"REGION1","SEBMSTPH3",2046,101.101015751675
"REGION1","SEBMSTPH3",2047,101.101015751675
"REGION1","SEBMSTPH3",2048,101.101015751674
"REGION1","SEBMSTPH3",2049,101.101015751674
