REGION,TECHNOLOGY,VALUE
"REGION1","SEBF00X00",0.00308381114437039
"REGION1","SEBFHPFH1",0.00200447924832
"REGION1","SEBM00X00",8508.6275949359
"REGION1","SEBMCCPH1",7.32517192776575
"REGION1","SEBMCHPH3",0.213038377484942
"REGION1","SEBMSTPH3",2890.3452774416
"REGION1","SECO00I00",274.197467926293
"REGION1","SECO00X00",66.151442
"REGION1","SEEL00TD0",27839.7069580528
"REGION1","SEGO00X00",18.8169948
"REGION1","SEGOCVPH2",4.64597485997039
"REGION1","SEHF00I00",914.244425999999
"REGION1","SEHYDMPH1",456.332053853419
"REGION1","SEHYDMPH2",3925.65734117286
"REGION1","SEHYDMPH3",6943.20759457957
"REGION1","SEHYDSPH2",47.1085819594117
"REGION1","SEHYDSPH3",170.119401180461
"REGION1","SENG00I00",475.04231465076
"REGION1","SENGCHPH3",0.715625720050441
"REGION1","SENGFCFH1",0.004188670429248
"REGION1","SENUG2PH3",4725.86470536126
"REGION1","SEOCWVPH1",2.07033920743198
"REGION1","SESODIFH1",0.0206977310167736
"REGION1","SESOUTPH2",7.44991506180496
"REGION1","SEUR00I00",14320.7878166562
"REGION1","SEWIOFPH3",45.7224112110032
"REGION1","SEWIONPH3",887.622528023004
"REGION1","SEWIONPN3",5780.1546707044
"REGION1","SEWS00X00",5460.18842392069
"REGION1","SEWSCHPH2",148.423135474787
"REGION1","SEWSSTPH1",1796.72919193645
"REGION1","SEstCO001",45.8562650247686
"REGION1","SEstHY003",45.6343276656556
"REGION1","SEstEA004",59.5274073095758
"REGION1","SECK00X00",506.735958830649
"REGION1","SEOI00I00",33.2050574752423
"REGION1","SEceCO001",63.7968988108289
"REGION1","SEceAM002",0.619132439770907
"REGION1","SEcePL003",59.0939687494001
"REGION1","SEppCO001",485348.061196828
"REGION1","SEppBC002",22565.5088031729
"REGION1","SEBA00X00",6257.68869876092
"REGION1","SEBL00X00",20342.3576944633
