REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBMCCPH1","SEBM",2019,0.085774158891123
"REGION1","S01B1","SEBMCCPH1","SEBM",2020,0.166186668790376
"REGION1","S01B1","SEBMCCPH1","SEBM",2021,0.163867913737989
"REGION1","S01B1","SEBMCCPH1","SEBM",2022,0.161549158685603
"REGION1","S01B1","SEBMCCPH1","SEBM",2023,0.159230403633216
"REGION1","S01B1","SEBMCCPH1","SEBM",2024,0.15691103368954
"REGION1","S01B1","SEBMCCPH1","SEBM",2025,0.154592278637154
"REGION1","S01B1","SEBMCHPH3","SEBM",2026,0.0102481779087437
"REGION1","S01B1","SEBMCHPH3","SEBM",2028,0.00639950767823223
"REGION1","S01B1","SEBMCHPH3","SEBM",2029,0.00212368704140225
"REGION1","S01B1","SEBMCHPH3","SEBM",2030,0.00512408895436992
"REGION1","S01B1","SEBMSTPH3","SEBM",2020,3.58575677008198
"REGION1","S01B1","SEBMSTPH3","SEBM",2021,5.82654403177783
"REGION1","S01B1","SEBMSTPH3","SEBM",2022,10.0958972307931
"REGION1","S01B1","SEBMSTPH3","SEBM",2023,10.6619489010429
"REGION1","S01B1","SEBMSTPH3","SEBM",2024,11.5312070625024
"REGION1","S01B1","SEBMSTPH3","SEBM",2025,11.5731209097984
"REGION1","S01B1","SEBMSTPH3","SEBM",2026,11.5731209097984
"REGION1","S01B1","SEBMSTPH3","SEBM",2027,8.95103534530714
"REGION1","S01B1","SEBMSTPH3","SEBM",2028,11.5731209097984
"REGION1","S01B1","SEBMSTPH3","SEBM",2029,11.5731209097984
"REGION1","S01B1","SEBMSTPH3","SEBM",2030,1.07902488507087
"REGION1","S01B1","SEBMSTPH3","SEBM",2031,0.754394232749953
"REGION1","S01B1","SEBMSTPH3","SEBM",2032,0.807077738114685
"REGION1","S01B1","SEBMSTPH3","SEBM",2033,0.818955612511591
"REGION1","S01B1","SEBMSTPH3","SEBM",2034,0.800841463746638
"REGION1","S01B1","SEBMSTPH3","SEBM",2035,5.5220677336958
"REGION1","S01B1","SEBMSTPH3","SEBM",2036,5.5220677336958
"REGION1","S01B1","SEBMSTPH3","SEBM",2037,5.5220677336958
"REGION1","S01B1","SEBMSTPH3","SEBM",2038,5.50378333375035
"REGION1","S01B1","SEBMSTPH3","SEBM",2039,5.51316437288722
"REGION1","S01B1","SEBMSTPH3","SEBM",2040,7.84914313714381
"REGION1","S01B1","SEBMSTPH3","SEBM",2041,15.4689430638861
"REGION1","S01B1","SEBMSTPH3","SEBM",2042,15.2339157891298
"REGION1","S01B1","SEBMSTPH3","SEBM",2043,16.6211948276057
"REGION1","S01B1","SEBMSTPH3","SEBM",2044,16.6126787687807
"REGION1","S01B1","SEBMSTPH3","SEBM",2045,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2046,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2047,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2048,17.5186309188248
"REGION1","S01B1","SEBMSTPH3","SEBM",2049,17.6882639151451
"REGION1","S01B1","SEBMSTPH3","SEBM",2050,17.5259949348587
"REGION1","S01B1","SEBMSTPH3","SEBM",2051,17.7303303187466
"REGION1","S01B1","SEBMSTPH3","SEBM",2052,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2053,17.5589065360322
"REGION1","S01B1","SEBMSTPH3","SEBM",2054,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2055,17.5247201101293
"REGION1","S01B1","SEBMSTPH3","SEBM",2056,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2057,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2058,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2059,17.748879467128
"REGION1","S01B1","SEBMSTPH3","SEBM",2060,17.0616861420145
"REGION1","S01B1","SEEL00TD0","SEE1",2015,22.3853615042119
"REGION1","S01B1","SEEL00TD0","SEE1",2016,22.5411095133551
"REGION1","S01B1","SEEL00TD0","SEE1",2017,22.8560862274916
"REGION1","S01B1","SEEL00TD0","SEE1",2018,23.1566204930857
"REGION1","S01B1","SEEL00TD0","SEE1",2019,23.3122681986243
"REGION1","S01B1","SEEL00TD0","SEE1",2020,23.632077581311
"REGION1","S01B1","SEEL00TD0","SEE1",2021,23.7924664824529
"REGION1","S01B1","SEEL00TD0","SEE1",2022,23.9526346280766
"REGION1","S01B1","SEEL00TD0","SEE1",2023,24.112961810798
"REGION1","S01B1","SEEL00TD0","SEE1",2024,24.3309590192557
"REGION1","S01B1","SEEL00TD0","SEE1",2025,24.4727048677568
"REGION1","S01B1","SEEL00TD0","SEE1",2026,24.8286857623225
"REGION1","S01B1","SEEL00TD0","SEE1",2027,25.0080499488134
"REGION1","S01B1","SEEL00TD0","SEE1",2028,25.1820966521664
"REGION1","S01B1","SEEL00TD0","SEE1",2029,25.3672708796812
"REGION1","S01B1","SEEL00TD0","SEE1",2030,25.547124833362
"REGION1","S01B1","SEEL00TD0","SEE1",2031,25.9684769258956
"REGION1","S01B1","SEEL00TD0","SEE1",2032,26.1192280011897
"REGION1","S01B1","SEEL00TD0","SEE1",2033,26.2701122877053
"REGION1","S01B1","SEEL00TD0","SEE1",2034,26.4212261535105
"REGION1","S01B1","SEEL00TD0","SEE1",2035,26.5725074611216
"REGION1","S01B1","SEEL00TD0","SEE1",2036,26.7453157692743
"REGION1","S01B1","SEEL00TD0","SEE1",2037,26.9183397034608
"REGION1","S01B1","SEEL00TD0","SEE1",2038,27.0915589862806
"REGION1","S01B1","SEEL00TD0","SEE1",2039,27.2649114801454
"REGION1","S01B1","SEEL00TD0","SEE1",2040,27.4384935534762
"REGION1","S01B1","SEEL00TD0","SEE1",2041,27.6981834229121
"REGION1","S01B1","SEEL00TD0","SEE1",2042,27.9623622973976
"REGION1","S01B1","SEEL00TD0","SEE1",2043,28.2294519140354
"REGION1","S01B1","SEEL00TD0","SEE1",2044,28.49672808698
"REGION1","S01B1","SEEL00TD0","SEE1",2045,28.7642527348229
"REGION1","S01B1","SEEL00TD0","SEE1",2046,29.0049127713469
"REGION1","S01B1","SEEL00TD0","SEE1",2047,29.2457733952015
"REGION1","S01B1","SEEL00TD0","SEE1",2048,29.4868346063866
"REGION1","S01B1","SEEL00TD0","SEE1",2049,29.7281110292114
"REGION1","S01B1","SEEL00TD0","SEE1",2050,29.9696020703905
"REGION1","S01B1","SEEL00TD0","SEE1",2051,30.1113257897244
"REGION1","S01B1","SEEL00TD0","SEE1",2052,30.2537124096165
"REGION1","S01B1","SEEL00TD0","SEE1",2053,30.3967476024003
"REGION1","S01B1","SEEL00TD0","SEE1",2054,30.5405280331397
"REGION1","S01B1","SEEL00TD0","SEE1",2055,30.6849228835839
"REGION1","S01B1","SEEL00TD0","SEE1",2056,30.5713997032707
"REGION1","S01B1","SEEL00TD0","SEE1",2057,30.6625343899854
"REGION1","S01B1","SEEL00TD0","SEE1",2058,30.7999116597452
"REGION1","S01B1","SEEL00TD0","SEE1",2059,30.9293208319424
"REGION1","S01B1","SEEL00TD0","SEE1",2060,30.8804396757883
"REGION1","S01B1","SEGOCVPH2","SEGO",2024,0.00154552268213037
"REGION1","S01B1","SEGOCVPH2","SEGO",2025,0.00193190335266296
"REGION1","S01B1","SEGOCVPH2","SEGO",2026,0.00346825731863899
"REGION1","S01B1","SEGOCVPH2","SEGO",2027,0.00502295794546746
"REGION1","S01B1","SEGOCVPH2","SEGO",2028,0.00656846217051028
"REGION1","S01B1","SEGOCVPH2","SEGO",2029,0.00770831191135835
"REGION1","S01B1","SEGOCVPH2","SEGO",2030,0.00965951676331478
"REGION1","S01B1","SEGOCVPH2","SEGO",2032,0.0127505713561193
"REGION1","S01B1","SEGOCVPH2","SEGO",2033,0.0142960755811621
"REGION1","S01B1","SEGOCVPH2","SEGO",2034,0.0158416259489238
"REGION1","S01B1","SEGOCVPH2","SEGO",2035,0.0163909865911426
"REGION1","S01B1","SEGOCVPH2","SEGO",2036,0.0189326343990094
"REGION1","S01B1","SEGOCVPH2","SEGO",2037,0.00991912623552004
"REGION1","S01B1","SEGOCVPH2","SEGO",2038,0.0220236889918139
"REGION1","S01B1","SEGOCVPH2","SEGO",2039,0.0235692393595756
"REGION1","S01B1","SEGOCVPH2","SEGO",2040,0.0251147435846184
"REGION1","S01B1","SEGOCVPH2","SEGO",2041,0.02627389482476
"REGION1","S01B1","SEGOCVPH2","SEGO",2042,0.0274330460649015
"REGION1","S01B1","SEGOCVPH2","SEGO",2043,0.028592151162305
"REGION1","S01B1","SEGOCVPH2","SEGO",2044,0.0297513024024657
"REGION1","S01B1","SEGOCVPH2","SEGO",2045,0.0309104536426073
"REGION1","S01B1","SEGOCVPH2","SEGO",2046,0.0312968527702274
"REGION1","S01B1","SEGOCVPH2","SEGO",2047,0.0316832057551235
"REGION1","S01B1","SEGOCVPH2","SEGO",2048,0.0320696048827488
"REGION1","S01B1","SEGOCVPH2","SEGO",2049,0.0324559578676501
"REGION1","S01B1","SEGOCVPH2","SEGO",2050,0.0159080254728781
"REGION1","S01B1","SEGOCVPH2","SEGO",2051,0.0331708008680192
"REGION1","S01B1","SEGOCVPH2","SEGO",2052,0.0335024747310875
"REGION1","S01B1","SEGOCVPH2","SEGO",2053,0.0338375170126387
"REGION1","S01B1","SEGOCVPH2","SEGO",2054,0.0341758815699325
"REGION1","S01B1","SEGOCVPH2","SEGO",2055,0.0345176606884281
"REGION1","S01B1","SEGOCVPH2","SEGO",2056,0.0348628082253995
"REGION1","S01B1","SEGOCVPH2","SEGO",2057,0.0352114626090033
"REGION1","S01B1","SEGOCVPH2","SEGO",2058,0.0355635776965132
"REGION1","S01B1","SEGOCVPH2","SEGO",2059,0.03591919963067
"REGION1","S01B1","SEGOCVPH2","SEGO",2060,0.0362783745541708
"REGION1","S01B1","SENUG2PH3","SEUR",2015,32.4030003650785
"REGION1","S01B1","SENUG2PH3","SEUR",2016,35.6684027660218
"REGION1","S01B1","SENUG2PH3","SEUR",2017,34.6842018486078
"REGION1","S01B1","SENUG2PH3","SEUR",2018,38.4170777656857
"REGION1","S01B1","SENUG2PH3","SEUR",2019,36.5966327917437
"REGION1","S01B1","SENUG2PH3","SEUR",2020,33.8059171531763
"REGION1","S01B1","SENUG2PH3","SEUR",2021,33.8059171531763
"REGION1","S01B1","SENUG2PH3","SEUR",2022,31.7448872598228
"REGION1","S01B1","SENUG2PH3","SEUR",2023,31.7448872598228
"REGION1","S01B1","SENUG2PH3","SEUR",2024,26.9414065923812
"REGION1","S01B1","SENUG2PH3","SEUR",2025,28.7865670993174
"REGION1","S01B1","SENUG2PH3","SEUR",2026,24.653455434778
"REGION1","S01B1","SENUG2PH3","SEUR",2027,28.9759019762727
"REGION1","S01B1","SENUG2PH3","SEUR",2028,28.3064779156302
"REGION1","S01B1","SENUG2PH3","SEUR",2029,24.5692564275438
"REGION1","S01B1","SENUG2PH3","SEUR",2030,28.9759019762727
"REGION1","S01B1","SENUG2PH3","SEUR",2031,28.9759019762727
"REGION1","S01B1","SENUG2PH3","SEUR",2032,28.9759019762727
"REGION1","S01B1","SENUG2PH3","SEUR",2033,28.9759019762727
"REGION1","S01B1","SENUG2PH3","SEUR",2034,28.9759019762727
"REGION1","S01B1","SENUG2PH3","SEUR",2035,22.9017285100886
"REGION1","S01B1","SENUG2PH3","SEUR",2036,22.9017285100886
"REGION1","S01B1","SENUG2PH3","SEUR",2037,22.9017285100886
"REGION1","S01B1","SENUG2PH3","SEUR",2038,21.896040712689
"REGION1","S01B1","SENUG2PH3","SEUR",2039,22.9017285100886
"REGION1","S01B1","SENUG2PH3","SEUR",2040,18.5869708065233
"REGION1","S01B1","SENUG2PH3","SEUR",2041,9.1363947101707
"REGION1","S01B1","SENUG2PH3","SEUR",2042,7.46161937907552
"REGION1","S01B1","SENUG2PH3","SEUR",2043,5.02690217891098
"REGION1","S01B1","SENUG2PH3","SEUR",2044,5.02690217891098
"REGION1","S01B1","SEWSCHPH2","SEWS",2015,2.01310955197131
"REGION1","S01B1","SEWSCHPH2","SEWS",2016,1.96115798705585
"REGION1","S01B1","SEWSCHPH2","SEWS",2017,1.90920642214038
"REGION1","S01B1","SEWSCHPH2","SEWS",2018,1.23334064184686
"REGION1","S01B1","SEWSCHPH2","SEWS",2019,1.80530872771067
"REGION1","S01B1","SEWSCHPH2","SEWS",2020,1.7533571627952
"REGION1","S01B1","SEWSCHPH2","SEWS",2021,1.6052825407506
"REGION1","S01B1","SEWSCHPH2","SEWS",2022,1.53842578470855
"REGION1","S01B1","SEWSCHPH2","SEWS",2023,1.52460904256848
"REGION1","S01B1","SEWSCHPH2","SEWS",2024,1.37312478749849
"REGION1","S01B1","SEWSCHPH2","SEWS",2025,1.06602032926776
"REGION1","S01B1","SEWSCHPH2","SEWS",2026,1.0561811734505
"REGION1","S01B1","SEWSCHPH2","SEWS",2027,1.04634201763324
"REGION1","S01B1","SEWSCHPH2","SEWS",2028,0.84833584101378
"REGION1","S01B1","SEWSCHPH2","SEWS",2029,0.721231226348685
"REGION1","S01B1","SEWSCHPH2","SEWS",2030,0.689313999271505
"REGION1","S01B1","SEWSCHPH2","SEWS",2031,0.542572316971017
"REGION1","S01B1","SEWSCHPH2","SEWS",2032,0.538136634425758
"REGION1","S01B1","SEWSCHPH2","SEWS",2033,0.50196515168543
"REGION1","S01B1","SEWSCHPH2","SEWS",2034,0.461460384213091
"REGION1","S01B1","SEWSCHPH2","SEWS",2035,0.374500645738205
"REGION1","S01B1","SEWSCHPH2","SEWS",2036,0.371335503885134
"REGION1","S01B1","SEWSCHPH2","SEWS",2038,0.212920485914788
"REGION1","S01B1","SEWSSTPH1","SEWS",2015,0.0166701313998984
"REGION1","S01B1","SEWSSTPH1","SEWS",2016,0.016574855045227
"REGION1","S01B1","SEWSSTPH1","SEWS",2017,0.0164795786905557
"REGION1","S01B1","SEWSSTPH1","SEWS",2018,0.0163843590142631
"REGION1","S01B1","SEWSSTPH1","SEWS",2019,0.0162890826595917
"REGION1","S01B1","SEWSSTPH1","SEWS",2020,0.0161938063049204
"REGION1","S01B1","SEWSSTPH1","SEWS",2021,0.0161488603505751
"REGION1","S01B1","SEWSSTPH1","SEWS",2023,0.0160588550851271
"REGION1","S01B1","SEWSSTPH1","SEWS",2024,3.40610159167139
"REGION1","S01B1","SEWSSTPH1","SEWS",2025,2.07692354953817
"REGION1","S01B1","SEWSSTPH1","SEWS",2026,5.8035750288137
"REGION1","S01B1","SEWSSTPH1","SEWS",2027,6.60020957308438
"REGION1","S01B1","SEWSSTPH1","SEWS",2028,4.95934461974922
"REGION1","S01B1","SEWSSTPH1","SEWS",2029,8.10774821977309
"REGION1","S01B1","SEWSSTPH1","SEWS",2030,9.55892465587046
"REGION1","S01B1","SEWSSTPH1","SEWS",2031,9.50861416387008
"REGION1","S01B1","SEWSSTPH1","SEWS",2032,9.45830367186969
"REGION1","S01B1","SEWSSTPH1","SEWS",2033,8.55554803081006
"REGION1","S01B1","SEWSSTPH1","SEWS",2034,9.35768268786893
"REGION1","S01B1","SEWSSTPH1","SEWS",2035,9.30737219586854
"REGION1","S01B1","SEWSSTPH1","SEWS",2036,9.25706170386816
"REGION1","S01B1","SEWSSTPH1","SEWS",2037,9.20675121186778
"REGION1","S01B1","SEWSSTPH1","SEWS",2038,9.141359623494
"REGION1","S01B1","SEWSSTPH1","SEWS",2039,9.09113199528334
"REGION1","S01B1","SEWSSTPH1","SEWS",2040,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2041,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2042,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2043,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2044,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2045,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2046,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2047,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2048,7.97479519401463
"REGION1","S01B1","SEWSSTPH1","SEWS",2049,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2050,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2051,9.04090436707269
"REGION1","S01B1","SEWSSTPH1","SEWS",2052,7.48882247994832
