REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2015,70.317
REGION1,CO2,2016,114.575085
REGION1,CO2,2017,124.11
REGION1,CO2,2018,118.65
REGION1,CO2,2019,113.4237
REGION1,CO2,2020,117.518
REGION1,CO2,2021,120.56
REGION1,CO2,2022,123.56
REGION1,CO2,2023,126.56
REGION1,CO2,2024,129.56
REGION1,CO2,2025,132.56
REGION1,CO2,2026,135.56
REGION1,CO2,2027,138.56
REGION1,CO2,2028,141.56
REGION1,CO2,2029,144.56
REGION1,CO2,2030,147.56
REGION1,CO2,2031,150.56
REGION1,CO2,2032,153.56
REGION1,CO2,2033,156.56
REGION1,CO2,2034,159.56
REGION1,CO2,2035,162.56
REGION1,CO2,2036,165.56
REGION1,CO2,2037,168.56
REGION1,CO2,2038,171.56
REGION1,CO2,2039,174.56
REGION1,CO2,2040,177.56
REGION1,CO2,2041,180.56
REGION1,CO2,2042,183.56
REGION1,CO2,2043,186.56
REGION1,CO2,2044,189.56
REGION1,CO2,2045,192.56
REGION1,CO2,2046,195.56
REGION1,CO2,2047,198.56
REGION1,CO2,2048,201.56
REGION1,CO2,2049,204.56
REGION1,CO2,2050,207.56
REGION1,CO2,2051,210.56
REGION1,CO2,2052,213.56
REGION1,CO2,2053,216.56
REGION1,CO2,2054,219.56
REGION1,CO2,2055,222.56
REGION1,CO2,2056,225.56
REGION1,CO2,2057,228.56
REGION1,CO2,2058,231.56
REGION1,CO2,2059,234.56
REGION1,CO2,2060,237.56
